,ICC,DOF1,DOF2,CI95%_lower,CI95%_upper,pvalue,p_fdr
centile_SA_bankssts,0.951,147,147,0.93,0.96,3.90e-77,9.20e-77
centile_SA_caudalanteriorcingulate,0.943,147,147,0.92,0.96,2.03e-72,3.46e-72
centile_SA_caudalmiddlefrontal,0.969,147,147,0.96,0.98,2.52e-91,2.08e-90
centile_SA_cuneus,0.962,147,147,0.95,0.97,4.64e-85,1.70e-84
centile_SA_fusiform,0.958,147,147,0.94,0.97,4.45e-82,1.34e-81
centile_SA_inferiorparietal,0.966,147,147,0.95,0.98,1.54e-88,7.25e-88
centile_SA_inferiortemporal,0.964,147,147,0.95,0.97,4.38e-87,1.81e-86
centile_SA_isthmuscingulate,0.945,147,147,0.92,0.96,1.41e-73,3.11e-73
centile_SA_lateraloccipital,0.969,147,147,0.96,0.98,1.60e-91,1.76e-90
centile_SA_lateralorbitofrontal,0.866,147,147,0.82,0.9,2.44e-46,2.78e-46
centile_SA_lingual,0.970,147,147,0.96,0.98,1.90e-92,3.13e-91
centile_SA_medialorbitofrontal,0.860,147,147,0.81,0.9,5.16e-45,5.68e-45
centile_SA_middletemporal,0.957,147,147,0.94,0.97,5.82e-81,1.60e-80
centile_SA_parahippocampal,0.882,147,147,0.84,0.91,3.22e-50,3.79e-50
centile_SA_paracentral,0.914,147,147,0.88,0.94,1.26e-59,1.74e-59
centile_SA_parsopercularis,0.943,147,147,0.92,0.96,1.46e-72,2.68e-72
centile_SA_parsorbitalis,0.926,147,147,0.9,0.95,3.03e-64,4.77e-64
centile_SA_parstriangularis,0.945,147,147,0.92,0.96,2.15e-73,4.18e-73
centile_SA_pericalcarine,0.953,147,147,0.94,0.97,2.57e-78,6.52e-78
centile_SA_postcentral,0.914,147,147,0.88,0.94,1.34e-59,1.77e-59
centile_SA_posteriorcingulate,0.967,147,147,0.96,0.98,8.74e-90,5.77e-89
centile_SA_precentral,0.912,147,147,0.88,0.94,3.92e-59,4.97e-59
centile_SA_precuneus,0.967,147,147,0.95,0.98,4.00e-89,2.20e-88
centile_SA_rostralanteriorcingulate,0.893,147,147,0.85,0.92,5.04e-53,6.16e-53
centile_SA_rostralmiddlefrontal,0.916,147,147,0.89,0.94,2.00e-60,2.87e-60
centile_SA_superiorfrontal,0.972,147,147,0.96,0.98,1.07e-94,3.53e-93
centile_SA_superiorparietal,0.945,147,147,0.92,0.96,1.67e-73,3.44e-73
centile_SA_superiortemporal,0.959,147,147,0.94,0.97,1.89e-82,6.24e-82
centile_SA_supramarginal,0.943,147,147,0.92,0.96,2.10e-72,3.46e-72
centile_SA_frontalpole,0.784,147,147,0.71,0.84,1.69e-32,1.69e-32
centile_SA_temporalpole,0.785,147,147,0.71,0.84,1.07e-32,1.11e-32
centile_SA_transversetemporal,0.925,147,147,0.9,0.95,4.85e-64,7.27e-64
centile_SA_insula,0.837,147,147,0.78,0.88,1.36e-40,1.45e-40
