,ICC,DOF1,DOF2,CI95%_lower,CI95%_upper,pvalue,p_fdr
centile_SA_bankssts,0.883,45,45,0.8,0.93,1.10e-16,1.34e-16
centile_SA_caudalanteriorcingulate,0.950,45,45,0.91,0.97,1.08e-24,3.96e-24
centile_SA_caudalmiddlefrontal,0.939,45,45,0.89,0.97,9.04e-23,2.13e-22
centile_SA_cuneus,0.944,45,45,0.9,0.97,1.26e-23,3.78e-23
centile_SA_fusiform,0.905,45,45,0.84,0.95,1.21e-18,1.81e-18
centile_SA_inferiorparietal,0.968,45,45,0.94,0.98,5.87e-29,6.46e-28
centile_SA_inferiortemporal,0.906,45,45,0.84,0.95,1.02e-18,1.60e-18
centile_SA_isthmuscingulate,0.887,45,45,0.81,0.94,4.82e-17,6.37e-17
centile_SA_lateraloccipital,0.942,45,45,0.9,0.97,2.88e-23,7.92e-23
centile_SA_lateralorbitofrontal,0.875,45,45,0.78,0.93,4.77e-16,5.62e-16
centile_SA_lingual,0.950,45,45,0.91,0.97,9.48e-25,3.96e-24
centile_SA_medialorbitofrontal,0.836,45,45,0.72,0.91,1.30e-13,1.43e-13
centile_SA_middletemporal,0.901,45,45,0.83,0.94,3.39e-18,4.67e-18
centile_SA_parahippocampal,0.913,45,45,0.85,0.95,1.79e-19,2.95e-19
centile_SA_paracentral,0.938,45,45,0.89,0.97,1.32e-22,2.90e-22
centile_SA_parsopercularis,0.967,45,45,0.94,0.98,1.11e-28,9.14e-28
centile_SA_parsorbitalis,0.924,45,45,0.87,0.96,9.72e-21,1.78e-20
centile_SA_parstriangularis,0.950,45,45,0.91,0.97,9.81e-25,3.96e-24
centile_SA_pericalcarine,0.948,45,45,0.91,0.97,2.69e-24,8.88e-24
centile_SA_postcentral,0.936,45,45,0.89,0.96,2.53e-22,5.22e-22
centile_SA_posteriorcingulate,0.940,45,45,0.89,0.97,5.54e-23,1.41e-22
centile_SA_precentral,0.883,45,45,0.8,0.93,1.07e-16,1.34e-16
centile_SA_precuneus,0.983,45,45,0.97,0.99,6.32e-35,1.04e-33
centile_SA_rostralanteriorcingulate,0.869,45,45,0.77,0.93,1.27e-15,1.45e-15
centile_SA_rostralmiddlefrontal,0.919,45,45,0.86,0.95,4.47e-20,7.77e-20
centile_SA_superiorfrontal,0.966,45,45,0.94,0.98,2.00e-28,1.32e-27
centile_SA_superiorparietal,0.989,45,45,0.98,0.99,2.10e-39,6.93e-38
centile_SA_superiortemporal,0.930,45,45,0.88,0.96,1.82e-21,3.54e-21
centile_SA_supramarginal,0.953,45,45,0.92,0.97,2.62e-25,1.44e-24
centile_SA_frontalpole,0.664,45,45,0.47,0.8,1.82e-07,1.87e-07
centile_SA_temporalpole,0.647,45,45,0.44,0.79,4.56e-07,4.56e-07
centile_SA_transversetemporal,0.904,45,45,0.83,0.95,1.68e-18,2.40e-18
centile_SA_insula,0.803,45,45,0.67,0.89,5.74e-12,6.11e-12
