,ICC,pvalue,p_fdr
centile_CT_bankssts,0.21158743853384393,0.027415026660429453,0.051520003166943974
centile_CT_caudalanteriorcingulate,0.23014880958821923,0.018168158843243035,0.041181160044684216
centile_CT_caudalmiddlefrontal,0.4389629959841343,1.653284529664715e-05,0.0005621167400860031
centile_CT_cuneus,0.32620711975834893,0.0013079458408099876,0.008468223813539545
centile_CT_entorhinal,0.2249941884823692,0.020427013289066306,0.04312305360840843
centile_CT_fusiform,0.1582550376626135,0.076512381783085,0.11298468892999693
centile_CT_inferiorparietal,0.20755945766793912,0.02986107409429508,0.051520003166943974
centile_CT_inferiortemporal,0.09094974747647425,0.20675792234557105,0.23432564532498054
centile_CT_isthmuscingulate,0.1370329387103399,0.10835323525655169,0.1376098431254951
centile_CT_lateraloccipital,0.03035362606064598,0.3926558426469793,0.4045545045453726
centile_CT_lateralorbitofrontal,0.18603932020704966,0.046097620318721555,0.07463424242078727
centile_CT_lingual,0.3220332241385266,0.0014943924376834491,0.008468223813539545
centile_CT_medialorbitofrontal,0.20685610175222205,0.030305884215849396,0.051520003166943974
centile_CT_middletemporal,0.15582676820044228,0.07975389806823313,0.11298468892999693
centile_CT_parahippocampal,0.26035693510974733,0.008723616628110886,0.026963905941433646
centile_CT_paracentral,0.2691327033160541,0.006940887783418703,0.02452793374884717
centile_CT_parsopercularis,0.4064913868055332,6.859411281072665e-05,0.0006997465861011801
centile_CT_parsorbitalis,0.1236154845583308,0.13277094069302453,0.1612218565558155
centile_CT_parstriangularis,0.31406185620723887,0.001917726874127862,0.009314673388621044
centile_CT_pericalcarine,0.13648806239105296,0.10927840483495199,0.1376098431254951
centile_CT_postcentral,0.17634880657235488,0.05538132400551239,0.08558931891761005
centile_CT_posteriorcingulate,0.26766969019921055,0.007214098161425638,0.02452793374884717
centile_CT_precentral,0.10525022569647526,0.17182785520321583,0.20145334747963237
centile_CT_precuneus,0.29040202903165346,0.003869835826897374,0.01644680226431384
centile_CT_rostralanteriorcingulate,0.0670565809238766,0.27347785952542064,0.29907626286602895
centile_CT_rostralmiddlefrontal,0.01642241014225395,0.44142544778840637,0.44142544778840637
centile_CT_superiorfrontal,0.24289393290395883,0.01346410001968909,0.03521380005149455
centile_CT_superiorparietal,0.14398033564454002,0.09703922259492075,0.1319733427290922
centile_CT_superiortemporal,0.4020772703810866,8.232312777660942e-05,0.0006997465861011801
centile_CT_supramarginal,0.24982640472514486,0.011370549419384455,0.03221655668825595
centile_CT_frontalpole,0.06440278113013288,0.28148354152096844,0.29907626286602895
centile_CT_temporalpole,0.4099623195977674,5.932032879801113e-05,0.0006997465861011801
centile_CT_transversetemporal,0.22258231627561106,0.021561526804204215,0.04312305360840843
centile_CT_insula,0.2380270752459227,0.015121625348529441,0.03672394727500007
