,PC1_loadings
centile_SA_bankssts,0.1492967452897771
centile_SA_caudalanteriorcingulate,0.16758409656765916
centile_SA_caudalmiddlefrontal,0.17752645375599527
centile_SA_cuneus,0.12473825510756584
centile_SA_fusiform,0.19482196495227205
centile_SA_inferiorparietal,0.1667765409648569
centile_SA_inferiortemporal,0.1943030403450586
centile_SA_isthmuscingulate,0.16469124449499117
centile_SA_lateraloccipital,0.16473159460178508
centile_SA_lateralorbitofrontal,0.1980358261725562
centile_SA_lingual,0.13142953058550252
centile_SA_medialorbitofrontal,0.19847389990437617
centile_SA_middletemporal,0.20432686778215525
centile_SA_parahippocampal,0.1328214389807937
centile_SA_paracentral,0.16937028189948541
centile_SA_parsopercularis,0.15789308680861017
centile_SA_parsorbitalis,0.1796205049148021
centile_SA_parstriangularis,0.14578858844725082
centile_SA_pericalcarine,0.09423160355038915
centile_SA_postcentral,0.19827608477185257
centile_SA_posteriorcingulate,0.18757953397383492
centile_SA_precentral,0.19376326815880393
centile_SA_precuneus,0.1947104684175957
centile_SA_rostralanteriorcingulate,0.1888973334756593
centile_SA_rostralmiddlefrontal,0.19358711653976732
centile_SA_superiorfrontal,0.21119887017591607
centile_SA_superiorparietal,0.18010095111207228
centile_SA_superiortemporal,0.20737859232360345
centile_SA_supramarginal,0.17471789648373134
centile_SA_frontalpole,0.16431970081796776
centile_SA_temporalpole,0.13939989117174909
centile_SA_transversetemporal,0.14970016336070022
centile_SA_insula,0.17591938688116332
