,PC1_loadings
centile_CT_bankssts,0.18156040177487356
centile_CT_caudalanteriorcingulate,0.06972631419391341
centile_CT_caudalmiddlefrontal,0.21940540986680795
centile_CT_cuneus,0.13735578816893557
centile_CT_entorhinal,0.04476270903591728
centile_CT_fusiform,0.17189717821669287
centile_CT_inferiorparietal,0.2067889955347666
centile_CT_inferiortemporal,0.1658200112845062
centile_CT_isthmuscingulate,0.04436171230377005
centile_CT_lateraloccipital,0.16130010412715093
centile_CT_lateralorbitofrontal,0.15753742354229608
centile_CT_lingual,0.12450757787134083
centile_CT_medialorbitofrontal,0.11686504686054683
centile_CT_middletemporal,0.2119933182623974
centile_CT_parahippocampal,0.03443285128005812
centile_CT_paracentral,0.1956666333838926
centile_CT_parsopercularis,0.22227305719864632
centile_CT_parsorbitalis,0.19248780402488086
centile_CT_parstriangularis,0.21486035486268656
centile_CT_pericalcarine,0.07044330814408548
centile_CT_postcentral,0.17326341156958275
centile_CT_posteriorcingulate,0.12493915350671501
centile_CT_precentral,0.24627466780685556
centile_CT_precuneus,0.19335086871870105
centile_CT_rostralanteriorcingulate,0.08727300103681213
centile_CT_rostralmiddlefrontal,0.22198966499053643
centile_CT_superiorfrontal,0.24819945425578532
centile_CT_superiorparietal,0.1915832953113498
centile_CT_superiortemporal,0.22156102467484126
centile_CT_supramarginal,0.22962758491015922
centile_CT_frontalpole,0.14059944017305012
centile_CT_temporalpole,0.1319701191999354
centile_CT_transversetemporal,0.15863164297119403
centile_CT_insula,0.16236832897117362
