,PC1_loadings
centile_SA_bankssts,0.1476438652380314
centile_SA_caudalanteriorcingulate,0.16172484362710413
centile_SA_caudalmiddlefrontal,0.1445816464675463
centile_SA_cuneus,0.12390503349782869
centile_SA_fusiform,0.1880344313445141
centile_SA_inferiorparietal,0.16273096065724726
centile_SA_inferiortemporal,0.1839543955436173
centile_SA_isthmuscingulate,0.1891572907430237
centile_SA_lateraloccipital,0.14544890589027665
centile_SA_lateralorbitofrontal,0.21081891365712577
centile_SA_lingual,0.13661784368743213
centile_SA_medialorbitofrontal,0.20150847730079696
centile_SA_middletemporal,0.2064248387393942
centile_SA_parahippocampal,0.12095831343557882
centile_SA_paracentral,0.16202282955188058
centile_SA_parsopercularis,0.16013278403839867
centile_SA_parsorbitalis,0.1953116352699317
centile_SA_parstriangularis,0.18551436717128977
centile_SA_pericalcarine,0.06572505940536331
centile_SA_postcentral,0.20680358766567536
centile_SA_posteriorcingulate,0.19520193813433095
centile_SA_precentral,0.1830882925484919
centile_SA_precuneus,0.20128857383195575
centile_SA_rostralanteriorcingulate,0.19519781054870397
centile_SA_rostralmiddlefrontal,0.21213558434610505
centile_SA_superiorfrontal,0.21313722947092514
centile_SA_superiorparietal,0.1813925898523436
centile_SA_superiortemporal,0.18618976470577286
centile_SA_supramarginal,0.19093608644583737
centile_SA_frontalpole,0.12586142864941172
centile_SA_temporalpole,0.10473268469697333
centile_SA_transversetemporal,0.13661388555645054
centile_SA_insula,0.20125339206357368
