,PC1_loadings
centile_CT_bankssts,0.13486650719464902
centile_CT_caudalanteriorcingulate,0.15146633193420522
centile_CT_caudalmiddlefrontal,0.17409663165425934
centile_CT_cuneus,0.15337882866936925
centile_CT_entorhinal,0.024820853999359297
centile_CT_fusiform,0.17305183999478066
centile_CT_inferiorparietal,0.1565045177238396
centile_CT_inferiortemporal,0.20538635119723603
centile_CT_isthmuscingulate,0.13108397766015456
centile_CT_lateraloccipital,0.1658024149952012
centile_CT_lateralorbitofrontal,0.18480826509841008
centile_CT_lingual,0.1431328109534936
centile_CT_medialorbitofrontal,0.13988322866761935
centile_CT_middletemporal,0.1890728766708405
centile_CT_parahippocampal,0.10674698739942849
centile_CT_paracentral,0.20971991252110875
centile_CT_parsopercularis,0.19635285754097181
centile_CT_parsorbitalis,0.1592101540670317
centile_CT_parstriangularis,0.15576182699043004
centile_CT_pericalcarine,0.1776465046353376
centile_CT_postcentral,0.21610955912878016
centile_CT_posteriorcingulate,0.16778140366606553
centile_CT_precentral,0.22113281279763067
centile_CT_precuneus,0.2113965648335215
centile_CT_rostralanteriorcingulate,0.13315488057012073
centile_CT_rostralmiddlefrontal,0.17585551862910942
centile_CT_superiorfrontal,0.2276247481801098
centile_CT_superiorparietal,0.1700520447281782
centile_CT_superiortemporal,0.20077810443242874
centile_CT_supramarginal,0.19200539314947174
centile_CT_frontalpole,0.11360455319764659
centile_CT_temporalpole,0.15474446999932162
centile_CT_transversetemporal,0.17428411480227282
centile_CT_insula,0.18929057932013504
