,PC1_loadings
centile_SA_bankssts,0.06355682586224873
centile_SA_caudalanteriorcingulate,0.06756722966245543
centile_SA_caudalmiddlefrontal,0.19010348813360076
centile_SA_cuneus,0.12539333918893592
centile_SA_fusiform,0.18728846615717132
centile_SA_inferiorparietal,0.06688113370576387
centile_SA_inferiortemporal,0.19859990067346672
centile_SA_isthmuscingulate,0.19659998791704553
centile_SA_lateraloccipital,0.2012559164026243
centile_SA_lateralorbitofrontal,0.23110879560468134
centile_SA_lingual,0.12473993597640369
centile_SA_medialorbitofrontal,0.23564558087242532
centile_SA_middletemporal,0.20880918291804643
centile_SA_parahippocampal,0.16126411349743294
centile_SA_paracentral,0.1992495159725273
centile_SA_parsopercularis,0.06343906853686308
centile_SA_parsorbitalis,0.1804885800915283
centile_SA_parstriangularis,0.07355031389865206
centile_SA_pericalcarine,0.11410689843360895
centile_SA_postcentral,0.21683329043104604
centile_SA_posteriorcingulate,0.2157382038519637
centile_SA_precentral,0.21571420047866038
centile_SA_precuneus,0.19422263432313516
centile_SA_rostralanteriorcingulate,0.22465830064313724
centile_SA_rostralmiddlefrontal,0.19790634452750994
centile_SA_superiorfrontal,0.2009152483093799
centile_SA_superiorparietal,0.11125726106762965
centile_SA_superiortemporal,0.1999589054554155
centile_SA_supramarginal,0.1953235525519746
centile_SA_frontalpole,0.12245522287158098
centile_SA_temporalpole,0.1750389603791285
centile_SA_transversetemporal,0.05301061166475909
centile_SA_insula,0.21393763994261086
