ROI,PC1_loadings,order
centile_SA_medialorbitofrontal,0.23564558087242532,1
centile_SA_lateralorbitofrontal,0.23110879560468134,2
centile_SA_rostralanteriorcingulate,0.22465830064313724,3
centile_SA_postcentral,0.21683329043104604,4
centile_SA_posteriorcingulate,0.2157382038519637,5
centile_SA_precentral,0.21571420047866038,6
centile_SA_insula,0.21393763994261086,7
centile_SA_middletemporal,0.20880918291804643,8
centile_SA_lateraloccipital,0.2012559164026243,9
centile_SA_superiorfrontal,0.2009152483093799,10
centile_SA_superiortemporal,0.1999589054554155,11
centile_SA_paracentral,0.1992495159725273,12
centile_SA_inferiortemporal,0.19859990067346672,13
centile_SA_rostralmiddlefrontal,0.19790634452750994,14
centile_SA_isthmuscingulate,0.19659998791704553,15
centile_SA_supramarginal,0.1953235525519746,16
centile_SA_precuneus,0.19422263432313516,17
centile_SA_caudalmiddlefrontal,0.19010348813360076,18
centile_SA_fusiform,0.18728846615717132,19
centile_SA_parsorbitalis,0.1804885800915283,20
centile_SA_temporalpole,0.1750389603791285,21
centile_SA_parahippocampal,0.16126411349743294,22
centile_SA_cuneus,0.12539333918893592,23
centile_SA_lingual,0.12473993597640369,24
centile_SA_frontalpole,0.12245522287158098,25
centile_SA_pericalcarine,0.11410689843360895,26
centile_SA_superiorparietal,0.11125726106762965,27
centile_SA_parstriangularis,0.07355031389865206,28
centile_SA_caudalanteriorcingulate,0.06756722966245543,29
centile_SA_inferiorparietal,0.06688113370576387,30
centile_SA_bankssts,0.06355682586224873,31
centile_SA_parsopercularis,0.06343906853686308,32
centile_SA_transversetemporal,0.05301061166475909,33
centile_SA_entorhinal,0.0,34
