rois,PT_sub_with_infranormal_dev_%,PT_sub_with_supranormal_dev_%,FT_sub_with_infranormal_dev_%,FT_sub_with_supranormal_dev_%
centile_SA_bankssts,10.135135135135135,4.054054054054054,4.970582268208561,5.153175086224386
centile_SA_caudalanteriorcingulate,6.081081081081082,4.054054054054054,5.254615540677622,4.889429904645973
centile_SA_caudalmiddlefrontal,7.4324324324324325,3.3783783783783785,5.132886995333739,4.605396632176912
centile_SA_cuneus,1.3513513513513513,3.3783783783783785,3.124365997159667,3.9967539054574965
centile_SA_entorhinal,0.0,0.0,0.0,0.0
centile_SA_fusiform,10.135135135135135,2.7027027027027026,4.990870359099208,4.727125177520795
centile_SA_inferiorparietal,9.45945945945946,1.3513513513513513,4.382227632379793,4.40251572327044
centile_SA_inferiortemporal,7.4324324324324325,4.72972972972973,5.33576790424021,4.159058632582674
centile_SA_isthmuscingulate,9.45945945945946,5.405405405405405,4.869141813755325,4.90971799553662
centile_SA_lateraloccipital,6.756756756756757,6.756756756756757,5.4372083586934465,4.40251572327044
centile_SA_lateralorbitofrontal,8.108108108108109,3.3783783783783785,4.422803814161087,4.645972813958207
centile_SA_lingual,2.7027027027027026,4.72972972972973,4.26049908703591,4.159058632582674
centile_SA_medialorbitofrontal,8.108108108108109,4.72972972972973,4.422803814161087,5.011158449989856
centile_SA_middletemporal,8.783783783783784,4.054054054054054,5.477784540474741,4.382227632379793
centile_SA_parahippocampal,7.4324324324324325,4.72972972972973,4.727125177520795,4.767701359302089
centile_SA_paracentral,6.081081081081082,5.405405405405405,4.605396632176912,5.33576790424021
centile_SA_parsopercularis,8.783783783783784,3.3783783783783785,5.579224994927977,5.05173463177115
centile_SA_parsorbitalis,4.72972972972973,7.4324324324324325,4.869141813755325,4.605396632176912
centile_SA_parstriangularis,12.837837837837837,3.3783783783783785,5.031446540880504,4.1184824508013795
centile_SA_pericalcarine,2.027027027027027,4.054054054054054,4.017041996348144,3.9156015418949077
centile_SA_postcentral,6.081081081081082,1.3513513513513513,4.787989450192737,4.524244268614323
centile_SA_posteriorcingulate,8.783783783783784,3.3783783783783785,4.625684723067559,5.4372083586934465
centile_SA_precentral,6.756756756756757,2.7027027027027026,4.970582268208561,4.747413268411442
centile_SA_precuneus,6.756756756756757,5.405405405405405,4.747413268411442,5.112598904443092
centile_SA_rostralanteriorcingulate,7.4324324324324325,1.3513513513513513,5.153175086224386,4.443091905051735
centile_SA_rostralmiddlefrontal,6.756756756756757,5.405405405405405,5.33576790424021,4.747413268411442
centile_SA_superiorfrontal,5.405405405405405,4.72972972972973,5.315479813349564,4.8285656319740315
centile_SA_superiorparietal,10.135135135135135,2.7027027027027026,5.05173463177115,6.066139176303509
centile_SA_superiortemporal,7.4324324324324325,2.7027027027027026,5.011158449989856,4.625684723067559
centile_SA_supramarginal,6.081081081081082,3.3783783783783785,5.011158449989856,4.645972813958207
centile_SA_frontalpole,4.72972972972973,4.72972972972973,4.727125177520795,5.132886995333739
centile_SA_temporalpole,5.405405405405405,8.783783783783784,4.159058632582674,5.1937512680056805
centile_SA_transversetemporal,7.4324324324324325,3.3783783783783785,4.179346723473321,4.605396632176912
centile_SA_insula,10.81081081081081,6.081081081081082,5.214039358896328,4.787989450192737
