ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
SA_bankssts,-2.544,5073.0,0.208,-56.492,-7.32,1.10e-02,3.60e-02
SA_caudalanteriorcingulate,-0.364,5073.0,0.03,-24.15,16.587,7.16e-01,7.61e-01
SA_caudalmiddlefrontal,-1.749,5073.0,0.141,-116.979,6.664,8.03e-02,1.39e-01
SA_cuneus,-0.814,5073.0,0.07,-47.922,19.812,4.16e-01,5.24e-01
SA_entorhinal,1.888,5073.0,-0.147,-0.494,26.249,5.91e-02,1.22e-01
SA_fusiform,-2.241,5073.0,0.174,-119.737,-7.995,2.51e-02,7.10e-02
SA_inferiorparietal,-3.462,5073.0,0.278,-317.476,-87.899,5.41e-04,9.20e-03
SA_inferiortemporal,0.149,5073.0,-0.008,-64.273,74.859,8.81e-01,8.81e-01
SA_isthmuscingulate,-3.046,5073.0,0.245,-58.699,-12.728,2.33e-03,1.58e-02
SA_lateraloccipital,-1.931,5073.0,0.156,-199.841,1.503,5.35e-02,1.21e-01
SA_lateralorbitofrontal,-2.524,5073.0,0.201,-114.18,-14.341,1.16e-02,3.60e-02
SA_lingual,-0.823,5073.0,0.072,-94.834,38.744,4.10e-01,5.24e-01
SA_medialorbitofrontal,-1.85,5073.0,0.145,-67.301,1.956,6.44e-02,1.22e-01
SA_middletemporal,-2.795,5073.0,0.221,-170.983,-30.015,5.21e-03,2.24e-02
SA_parahippocampal,-2.209,5073.0,0.176,-26.591,-1.586,2.72e-02,7.12e-02
SA_paracentral,0.252,5073.0,-0.015,-24.571,31.828,8.01e-01,8.25e-01
SA_parsopercularis,-2.81,5073.0,0.232,-94.492,-16.833,4.97e-03,2.24e-02
SA_parsorbitalis,-0.451,5073.0,0.039,-20.184,12.628,6.52e-01,7.15e-01
SA_parstriangularis,-3.173,5073.0,0.254,-96.07,-22.698,1.52e-03,1.29e-02
SA_pericalcarine,0.633,5073.0,-0.05,-27.295,53.326,5.27e-01,6.18e-01
SA_postcentral,-2.792,5073.0,0.227,-194.354,-33.997,5.26e-03,2.24e-02
SA_posteriorcingulate,-1.692,5073.0,0.138,-50.278,3.691,9.07e-02,1.47e-01
SA_precentral,-1.154,5073.0,0.094,-133.405,34.543,2.49e-01,3.38e-01
SA_precuneus,-1.524,5073.0,0.125,-148.825,18.619,1.27e-01,1.97e-01
SA_rostralanteriorcingulate,-1.859,5073.0,0.151,-39.58,1.05,6.31e-02,1.22e-01
SA_rostralmiddlefrontal,0.726,5073.0,-0.053,-78.415,170.599,4.68e-01,5.68e-01
SA_superiorfrontal,-1.261,5073.0,0.1,-244.359,53.03,2.07e-01,2.94e-01
SA_superiorparietal,-3.518,5073.0,0.292,-338.014,-96.105,4.38e-04,9.20e-03
SA_superiortemporal,-1.966,5073.0,0.156,-144.527,-0.201,4.94e-02,1.20e-01
SA_supramarginal,-1.299,5073.0,0.108,-168.228,34.126,1.94e-01,2.87e-01
SA_frontalpole,0.511,5073.0,-0.032,-4.59,7.827,6.09e-01,6.91e-01
SA_temporalpole,2.735,5073.0,-0.209,3.807,23.083,6.26e-03,2.37e-02
SA_transversetemporal,-1.742,5073.0,0.143,-16.598,0.981,8.17e-02,1.39e-01
SA_insula,-3.223,5073.0,0.252,-103.51,-25.209,1.28e-03,1.29e-02
