,T_5073-statistic
SA_bankssts,-2.544092977571079
SA_caudalanteriorcingulate,0.0
SA_caudalmiddlefrontal,0.0
SA_cuneus,0.0
SA_entorhinal,0.0
SA_fusiform,0.0
SA_inferiorparietal,-3.4616400489219132
SA_inferiortemporal,0.0
SA_isthmuscingulate,-3.0460584982339793
SA_lateraloccipital,0.0
SA_lateralorbitofrontal,-2.5236101061603224
SA_lingual,0.0
SA_medialorbitofrontal,0.0
SA_middletemporal,-2.795263775014565
SA_parahippocampal,0.0
SA_paracentral,0.0
SA_parsopercularis,-2.8103225253095068
SA_parsorbitalis,0.0
SA_parstriangularis,-3.173387905207535
SA_pericalcarine,0.0
SA_postcentral,-2.7916989253703153
SA_posteriorcingulate,0.0
SA_precentral,0.0
SA_precuneus,0.0
SA_rostralanteriorcingulate,0.0
SA_rostralmiddlefrontal,0.0
SA_superiorfrontal,0.0
SA_superiorparietal,-3.5181004747986315
SA_superiortemporal,0.0
SA_supramarginal,0.0
SA_frontalpole,0.0
SA_temporalpole,2.7348746829099166
SA_transversetemporal,0.0
SA_insula,-3.222756781422402
