rois,PT_sub_with_infranormal_dev_%,PT_sub_with_supranormal_dev_%,FT_sub_with_infranormal_dev_%,FT_sub_with_supranormal_dev_%
centile_CT_bankssts,6.282722513089005,4.712041884816754,4.408191600138841,5.466851787573759
centile_CT_caudalanteriorcingulate,1.5706806282722512,12.56544502617801,3.83547379382159,5.918083998611593
centile_CT_caudalmiddlefrontal,6.806282722513089,4.712041884816754,4.338771259979174,5.640402637972926
centile_CT_cuneus,5.7591623036649215,5.7591623036649215,5.310656022214509,4.113155154460257
centile_CT_entorhinal,7.853403141361256,9.424083769633508,4.737938215897257,4.633807705657757
centile_CT_fusiform,9.947643979057592,5.7591623036649215,5.362721277334259,4.807358556056925
centile_CT_inferiorparietal,7.853403141361256,2.6178010471204187,4.824713641096841,4.30406108989934
centile_CT_inferiortemporal,7.329842931937172,3.664921465968586,4.894133981256508,4.894133981256508
centile_CT_isthmuscingulate,6.282722513089005,10.471204188481675,5.501561957653593,4.9288441513363415
centile_CT_lateraloccipital,5.2356020942408374,5.2356020942408374,5.588337382853176,3.88753904894134
centile_CT_lateralorbitofrontal,5.2356020942408374,6.806282722513089,4.772648385977091,5.3453661922943425
centile_CT_lingual,7.853403141361256,5.7591623036649215,5.848663658451926,4.14786532454009
centile_CT_medialorbitofrontal,3.664921465968586,5.2356020942408374,4.408191600138841,4.963554321416175
centile_CT_middletemporal,13.612565445026178,3.1413612565445024,4.755293300937175,4.547032280458174
centile_CT_parahippocampal,4.18848167539267,9.947643979057592,5.536272127733426,5.0329746615758415
centile_CT_paracentral,6.806282722513089,5.7591623036649215,5.067684831655675,5.1371051718153415
centile_CT_parsopercularis,4.18848167539267,7.329842931937172,3.7834085387018392,5.518917042693509
centile_CT_parsorbitalis,7.853403141361256,3.1413612565445024,4.599097535577925,5.1891704269350925
centile_CT_parstriangularis,6.282722513089005,5.2356020942408374,4.338771259979174,5.761888233252343
centile_CT_pericalcarine,6.806282722513089,6.282722513089005,5.518917042693509,4.790003471017008
centile_CT_postcentral,4.712041884816754,4.18848167539267,4.911489066296425,4.755293300937175
centile_CT_posteriorcingulate,5.2356020942408374,6.282722513089005,4.564387365498091,5.119750086775425
centile_CT_precentral,7.329842931937172,4.18848167539267,4.737938215897257,4.9288441513363415
centile_CT_precuneus,4.18848167539267,5.7591623036649215,5.0850399166955915,5.0329746615758415
centile_CT_rostralanteriorcingulate,5.2356020942408374,6.282722513089005,4.564387365498091,5.0329746615758415
centile_CT_rostralmiddlefrontal,6.806282722513089,3.1413612565445024,4.998264491496009,5.223880597014925
centile_CT_superiorfrontal,8.37696335078534,4.18848167539267,4.182575494619924,6.056924678930927
centile_CT_superiorparietal,6.806282722513089,3.664921465968586,5.2933009371745925,4.790003471017008
centile_CT_superiortemporal,4.18848167539267,7.329842931937172,4.876778896216591,4.547032280458174
centile_CT_supramarginal,5.2356020942408374,5.7591623036649215,4.182575494619924,4.286706004859424
centile_CT_frontalpole,4.712041884816754,2.6178010471204187,4.460256855258591,5.3453661922943425
centile_CT_temporalpole,7.853403141361256,4.18848167539267,4.876778896216591,4.061089899340507
centile_CT_transversetemporal,6.806282722513089,3.664921465968586,4.755293300937175,4.876778896216591
centile_CT_insula,6.282722513089005,1.0471204188481675,5.223880597014925,4.547032280458174
