ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
SA_bankssts,-2.4622963488605696,5073.0,0.2043178033975775,-54.377094521611454,-6.170386211284825,0.013838060285598218,0.04704940497103394
SA_caudalanteriorcingulate,-0.36414809675867477,5073.0,0.0328242834171103,-24.86195448749265,17.07264707058899,0.7157625989765152,0.8111976121733839
SA_caudalmiddlefrontal,-1.5592307526527172,5073.0,0.1309699558797163,-111.718131359371,12.73457975912013,0.11900415234516436,0.21169743665348578
SA_cuneus,-0.6887189124278656,5073.0,0.060129321794515404,-45.98593657069556,22.075341362717367,0.49103166692278155,0.5962527384062347
SA_entorhinal,1.4823012498803305,5073.0,-0.11395287423627284,-3.299396660535697,23.75699176427284,0.13832226944816245,0.22395034101131062
SA_fusiform,-2.3034840362341664,5073.0,0.18057806996100648,-122.98144578109253,-9.894442594832704,0.02129186735589567,0.06581122637276843
SA_inferiorparietal,-3.3411674297011067,5073.0,0.268818062067463,-306.6064748684928,-79.85185154271433,0.000840300356326077,0.007142553028771655
SA_inferiortemporal,0.12093783702745418,5073.0,-0.0020865660619869453,-66.14085193991185,74.83773497051898,0.9037450620639241,0.9308809914052155
SA_isthmuscingulate,-2.7073821217173477,5073.0,0.21794361639264564,-54.52591411515468,-8.725316553336132,0.006804337740129735,0.03839183032897759
SA_lateraloccipital,-1.841339040978793,5073.0,0.14865587928995452,-195.04195845075586,6.109802780537649,0.06563023913143179,0.13126047826286358
SA_lateralorbitofrontal,-1.956579593925605,5073.0,0.1614650087240971,-101.78550418206041,0.10009945793981245,0.050451699209084766,0.10720986081930513
SA_lingual,-0.7325972143349401,5073.0,0.06374023050569318,-92.10158340577863,41.99193731143882,0.4638379768197456,0.5840922671063463
SA_medialorbitofrontal,-1.3105803947647947,5073.0,0.10880140981763103,-58.5632301546387,11.634745284848162,0.19005889566929987,0.2692501021981748
SA_middletemporal,-2.6571895985835394,5073.0,0.21409246053201436,-167.3253332733976,-25.247900593018613,0.007904200361848327,0.03839183032897759
SA_parahippocampal,-1.5499578817722428,5073.0,0.12591648703518948,-22.713655403921166,2.6559334985868546,0.12121400386089516,0.21169743665348578
SA_paracentral,0.08674077085988159,5073.0,0.0007280722890747611,-26.881362685975486,29.370257795185456,0.9308809914052155,0.9308809914052155
SA_parsopercularis,-2.5529435231586453,5073.0,0.21254827478235755,-89.1790216412254,-11.707340949093059,0.010710702035515511,0.04046265213416971
SA_parsorbitalis,-0.24957957758841307,5073.0,0.026327199268196124,-18.7939806084098,14.549121096444491,0.8029225984494881,0.8806247853962128
SA_parstriangularis,-3.664777448579679,5073.0,0.2940899316392986,-105.56662328932872,-31.984948103563156,0.0002500830288763033,0.007142553028771655
SA_pericalcarine,0.651089052353836,5073.0,-0.050777113889036,-27.05073448010529,53.9534506264107,0.5150184929045871,0.6038147847846884
SA_postcentral,-2.610104616730007,5073.0,0.214075182851191,-183.01403656809396,-26.014290289815094,0.009078060448107387,0.038581756904456393
SA_posteriorcingulate,-2.060506558152119,5073.0,0.1694918597450919,-55.831487279372524,-1.389558009168784,0.03940101475091497,0.09568817868079349
SA_precentral,-1.354699456890948,5073.0,0.11260546695374582,-143.22566926473215,26.169826858053796,0.17557365788823065,0.2595436681826018
SA_precuneus,-1.5362970582206699,5073.0,0.1275620498607931,-147.5715445456261,17.89964599774285,0.12452790391381517,0.21169743665348578
SA_rostralanteriorcingulate,-2.2445656732330046,5073.0,0.18428423886071219,-44.298583278358706,-2.993279272052071,0.02483895711113005,0.07037704514820181
SA_rostralmiddlefrontal,0.18489350689215708,5073.0,-0.006037951808563892,-113.35986890849428,136.9690523496488,0.8533199549012331,0.9066524520825602
SA_superiorfrontal,-1.4162964015971575,5073.0,0.11483677341085795,-259.843077478551,41.87183298529001,0.15675013813662975,0.24225021348388232
SA_superiorparietal,-3.220244168595123,5073.0,0.26760472596871493,-313.82365202219694,-76.3141627739663,0.0012888915159856831,0.008764462308702646
SA_superiortemporal,-2.0211097363192514,5073.0,0.16445050835738473,-147.50344787785795,-2.247927479063094,0.043320828238630524,0.09819387734089585
SA_supramarginal,-1.175418019722187,5073.0,0.10132122836343141,-158.68015351800497,39.72323451280428,0.23988268004294377,0.32624044485840353
SA_frontalpole,0.7609801465315451,5073.0,-0.05144179259003485,-3.8457068908811847,8.725448024785404,0.44670429524174204,0.5840922671063463
SA_temporalpole,3.5159171783458008,5073.0,-0.2687452847869196,7.678808696284779,27.034541118985683,0.00044206962383662354,0.007142553028771655
SA_transversetemporal,-2.202993137261637,5073.0,0.18177771741348425,-18.76947759854193,-1.093511044695326,0.027640030239575463,0.07228930985735121
SA_insula,-3.3766010168845515,5073.0,0.26443230207711166,-107.62878966213793,-28.559050457658934,0.0007393921112848651,0.007142553028771655
