rois,PT_sub_with_infranormal_dev_%,PT_sub_with_supranormal_dev_%,FT_sub_with_infranormal_dev_%,FT_sub_with_supranormal_dev_%
centile_CT_bankssts,17.708333333333336,4.166666666666666,3.7383177570093453,2.803738317757009
centile_CT_caudalanteriorcingulate,4.166666666666666,6.25,4.672897196261682,1.8691588785046727
centile_CT_caudalmiddlefrontal,4.166666666666666,3.125,7.476635514018691,4.672897196261682
centile_CT_cuneus,8.333333333333332,5.208333333333334,5.607476635514018,4.672897196261682
centile_CT_entorhinal,11.458333333333332,6.25,3.7383177570093453,7.476635514018691
centile_CT_fusiform,11.458333333333332,2.083333333333333,5.607476635514018,3.7383177570093453
centile_CT_inferiorparietal,20.833333333333336,3.125,5.607476635514018,5.607476635514018
centile_CT_inferiortemporal,7.291666666666667,6.25,3.7383177570093453,7.476635514018691
centile_CT_isthmuscingulate,2.083333333333333,9.375,2.803738317757009,3.7383177570093453
centile_CT_lateraloccipital,3.125,4.166666666666666,4.672897196261682,5.607476635514018
centile_CT_lateralorbitofrontal,6.25,7.291666666666667,5.607476635514018,4.672897196261682
centile_CT_lingual,9.375,7.291666666666667,6.5420560747663545,4.672897196261682
centile_CT_medialorbitofrontal,2.083333333333333,16.666666666666664,3.7383177570093453,6.5420560747663545
centile_CT_middletemporal,23.958333333333336,2.083333333333333,2.803738317757009,5.607476635514018
centile_CT_parahippocampal,8.333333333333332,7.291666666666667,4.672897196261682,2.803738317757009
centile_CT_paracentral,3.125,10.416666666666668,4.672897196261682,6.5420560747663545
centile_CT_parsopercularis,10.416666666666668,5.208333333333334,3.7383177570093453,4.672897196261682
centile_CT_parsorbitalis,26.041666666666668,0.0,4.672897196261682,4.672897196261682
centile_CT_parstriangularis,10.416666666666668,3.125,4.672897196261682,4.672897196261682
centile_CT_pericalcarine,3.125,6.25,6.5420560747663545,4.672897196261682
centile_CT_postcentral,14.583333333333334,4.166666666666666,2.803738317757009,5.607476635514018
centile_CT_posteriorcingulate,4.166666666666666,12.5,3.7383177570093453,7.476635514018691
centile_CT_precentral,12.5,1.0416666666666665,5.607476635514018,3.7383177570093453
centile_CT_precuneus,10.416666666666668,6.25,5.607476635514018,8.411214953271028
centile_CT_rostralanteriorcingulate,4.166666666666666,6.25,5.607476635514018,4.672897196261682
centile_CT_rostralmiddlefrontal,13.541666666666666,1.0416666666666665,3.7383177570093453,4.672897196261682
centile_CT_superiorfrontal,2.083333333333333,7.291666666666667,4.672897196261682,5.607476635514018
centile_CT_superiorparietal,14.583333333333334,5.208333333333334,2.803738317757009,8.411214953271028
centile_CT_superiortemporal,14.583333333333334,6.25,6.5420560747663545,6.5420560747663545
centile_CT_supramarginal,17.708333333333336,6.25,4.672897196261682,5.607476635514018
centile_CT_frontalpole,4.166666666666666,6.25,4.672897196261682,5.607476635514018
centile_CT_temporalpole,7.291666666666667,1.0416666666666665,4.672897196261682,2.803738317757009
centile_CT_transversetemporal,4.166666666666666,6.25,4.672897196261682,6.5420560747663545
centile_CT_insula,7.291666666666667,1.0416666666666665,4.672897196261682,3.7383177570093453
