ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
CT_bankssts,-2.969415887259964,199.0,0.42816532251486344,-0.08587585560492772,-0.01733479427010063,0.003350390580416308,0.012670681917135114
CT_caudalanteriorcingulate,1.0100283281320406,199.0,-0.13465566441099835,-0.020728577120992048,0.0642587485896652,0.31370822908420076,0.43099051869688415
CT_caudalmiddlefrontal,-1.0405702748347037,199.0,0.15533976729292528,-0.0542780712187744,0.016781211686888536,0.299337613036168,0.43099051869688415
CT_cuneus,-0.5653958636087314,199.0,0.09416098634441807,-0.03975077582693816,0.022035519437495033,0.5724414340394721,0.6711382330117949
CT_entorhinal,-1.3470675692669192,199.0,0.19392478726269716,-0.10375961385614957,0.01953533223308053,0.17949041132783053,0.3051336992573119
CT_fusiform,-2.666268654227458,199.0,0.3665052543936692,-0.08059000933139968,-0.01206379962758402,0.008300440387660025,0.021708844090803144
CT_inferiorparietal,-4.632026835396848,199.0,0.6648722601994584,-0.10271047250829002,-0.04137155725604733,6.533177002552774e-06,7.40426726955981e-05
CT_inferiortemporal,-1.7459809758577804,199.0,0.2589404453938488,-0.0573173133616994,0.003483735914211094,0.08235746274824665,0.1647149254964933
CT_isthmuscingulate,3.0705501084893925,199.0,-0.41606250349839163,0.022479185451374735,0.10317868762058705,0.0024351158015997903,0.011827705322056126
CT_lateraloccipital,-0.05387642352179144,199.0,0.03285526241736968,-0.03031645297452228,0.02870393892611005,0.9570876686171557,0.975095279753859
CT_lateralorbitofrontal,-0.45781256840656637,199.0,0.07590956618664065,-0.036472154797527974,0.02272812391310674,0.647586581132162,0.7102562502739842
CT_lingual,-1.2198412400189194,199.0,0.18389226118037863,-0.05151448562573559,0.012138874592758208,0.22396876645396513,0.36261609806832446
CT_medialorbitofrontal,3.398229875850614,199.0,-0.46643947579221945,0.02314369868981115,0.08714036339400624,0.000819169130513706,0.004641958406244333
CT_middletemporal,-6.518325188766954,199.0,0.9286688393409259,-0.1461081479457129,-0.07823786340867736,5.719511215803763e-10,1.9446338133732797e-08
CT_parahippocampal,-0.4780329605882443,199.0,0.08176900971201441,-0.06575224653821302,0.04009357247783324,0.6331514460342835,0.7102562502739842
CT_paracentral,1.6302853035348956,199.0,-0.24072226515580042,-0.006981514381129879,0.07360614610706581,0.10462295348655296,0.1976211343634889
CT_parsopercularis,-1.9004025186492381,199.0,0.2751948766765885,-0.05819938583257961,0.0010754168908759625,0.05882589339738057,0.1250050234694337
CT_parsorbitalis,-6.10762606272212,199.0,0.868291774402645,-0.17289440814765497,-0.08849889511293166,5.219775207605174e-09,8.873617852928796e-08
CT_parstriangularis,-2.909060537277156,199.0,0.41511658655429146,-0.07905373116108111,-0.015177485736563544,0.0040374109330049805,0.013727197172216933
CT_pericalcarine,0.8771774376863848,199.0,-0.11856660427793712,-0.017443729616053505,0.04539684994247481,0.381447994281636,0.4988166079067548
CT_postcentral,-2.250561636070223,199.0,0.31177110132624153,-0.06782447794739682,-0.004475112740616759,0.025507212503578593,0.05781634834144481
CT_posteriorcingulate,2.39340668573713,199.0,-0.2910078132743518,0.0065783162887426035,0.06813792953236938,0.017621846858507824,0.04279591379923329
CT_precentral,-2.7520048728822246,199.0,0.39476528008400646,-0.10963675611893281,-0.0181038668218479,0.006470477360333712,0.018333019187612182
CT_precuneus,-1.0033618244507572,199.0,0.15150666261572765,-0.04984792784504424,0.016227654899568556,0.3169047931594737,0.43099051869688415
CT_rostralanteriorcingulate,0.8234517335604667,199.0,-0.11121384256345905,-0.024948305288702705,0.060723036135593794,0.41123689597621205,0.516515767171157
CT_rostralmiddlefrontal,-3.565172386411872,199.0,0.5135010751802199,-0.07817645695182689,-0.022493962351154608,0.00045532502561789325,0.0030962101742016738
CT_superiorfrontal,0.7987875304396839,199.0,-0.11066144806050762,-0.019002304535665353,0.044878889638123476,0.4253659259056587,0.516515767171157
CT_superiorparietal,-2.8577142963715536,199.0,0.4087967255769978,-0.07604306800567096,-0.013946237580968489,0.004720835363838916,0.01459167294277483
CT_superiortemporal,-1.0289734989196686,199.0,0.15161277022965922,-0.05528909259783953,0.017373506266867254,0.30474116004374163,0.43099051869688415
CT_supramarginal,-3.748616548766308,199.0,0.5342106891365688,-0.08944535366883455,-0.02777938151813984,0.0002329984913095774,0.001980487176131408
CT_frontalpole,-0.30530448723418124,199.0,0.052825484058403045,-0.06283048031346315,0.04598355120908873,0.7604533601237928,0.8079816951315298
CT_temporalpole,-1.4426783775961072,199.0,0.1947012796820756,-0.12167860364477057,0.018860531134973886,0.15068321570773763,0.2696436491612147
CT_transversetemporal,0.031257790193481676,199.0,-0.0027300073199568154,-0.05209835021573396,0.05377659038264966,0.975095279753859,0.975095279753859
CT_insula,-2.969069786093945,199.0,0.42207033809516736,-0.07480369403171262,-0.015095599349442417,0.0033540040368887068,0.012670681917135114
