,T_199-statistic
CT_bankssts,-2.969415887259964
CT_caudalanteriorcingulate,0.0
CT_caudalmiddlefrontal,0.0
CT_cuneus,0.0
CT_entorhinal,0.0
CT_fusiform,-2.666268654227458
CT_inferiorparietal,-4.632026835396848
CT_inferiortemporal,0.0
CT_isthmuscingulate,3.0705501084893925
CT_lateraloccipital,0.0
CT_lateralorbitofrontal,0.0
CT_lingual,0.0
CT_medialorbitofrontal,3.398229875850614
CT_middletemporal,-6.518325188766954
CT_parahippocampal,0.0
CT_paracentral,0.0
CT_parsopercularis,0.0
CT_parsorbitalis,-6.10762606272212
CT_parstriangularis,-2.909060537277156
CT_pericalcarine,0.0
CT_postcentral,0.0
CT_posteriorcingulate,2.39340668573713
CT_precentral,-2.7520048728822246
CT_precuneus,0.0
CT_rostralanteriorcingulate,0.0
CT_rostralmiddlefrontal,-3.565172386411872
CT_superiorfrontal,0.0
CT_superiorparietal,-2.8577142963715536
CT_superiortemporal,0.0
CT_supramarginal,-3.748616548766308
CT_frontalpole,0.0
CT_temporalpole,0.0
CT_transversetemporal,0.0
CT_insula,-2.969069786093945
