ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
SA_bankssts,-4.38231218346393,199.0,0.5971792907948986,-109.6287952207193,-41.58533359284733,1.8990563733648798e-05,0.00012913583338881182
SA_caudalanteriorcingulate,-2.6704815918107814,199.0,0.371374809795218,-70.7986243985035,-10.652724069946412,0.008200617979628053,0.025362578535271133
SA_caudalmiddlefrontal,-0.7776201999749636,199.0,0.13143737837079306,-115.86053185867269,50.3264527372971,0.43771643248251857,0.4960786234801877
SA_cuneus,-2.430518259329581,199.0,0.33063197927924065,-125.40378097803438,-13.062056104461668,0.01596375983022551,0.041751371863666724
SA_entorhinal,2.0618636213302013,199.0,-0.2590282610994096,1.0816443699527163,48.52964875700948,0.040520155725156624,0.07250975235028027
SA_fusiform,-2.740213002438483,199.0,0.34616467350286867,-202.67428473822577,-33.04334163197494,0.006698327221349437,0.02530479172509787
SA_inferiorparietal,-3.057817658901346,199.0,0.39625217941010554,-450.85703896239005,-97.334016817237,0.0025360669755831,0.010778284646228176
SA_inferiortemporal,-0.14307788064167454,199.0,0.04974830275221655,-117.2627307846678,101.39754882689458,0.8863734431996926,0.9132332445087742
SA_isthmuscingulate,-5.889341907088076,199.0,0.7698527000965382,-136.44718612788478,-67.99337451015636,1.6286417866104458e-08,5.537382074475516e-07
SA_lateraloccipital,-0.5203116508407859,199.0,0.08806774269735387,-198.8146439767264,115.80144674326371,0.6034247514973172,0.661820695190606
SA_lateralorbitofrontal,-4.806538726444863,199.0,0.6350228274601589,-256.51248613756695,-107.26653832152616,3.021377426965233e-06,5.136341625840896e-05
SA_lingual,-2.264131306511945,199.0,0.31746808039548546,-241.9863929881653,-16.690474639089956,0.024644397639432904,0.052369344983794926
SA_medialorbitofrontal,-2.6702727755363,199.0,0.35907688984308445,-118.43235147406551,-17.81541316611078,0.008205540114352426,0.025362578535271133
SA_middletemporal,-4.600865055036388,199.0,0.583145484677446,-333.0615637217465,-133.21347099688012,7.4813528901241615e-06,8.478866608807382e-05
SA_parahippocampal,-1.1402564609671721,199.0,0.16291978584552722,-32.193103662114794,8.603205163661647,0.25554996566960697,0.32274843684828275
SA_paracentral,-1.9708160350005872,199.0,0.2713584243424884,-86.3251529811503,0.024970914096819286,0.05013137571776771,0.08116508449543343
SA_parsopercularis,-0.45761853229593535,199.0,0.07165921196279774,-73.97209884831905,46.10631801066644,0.6477257619414813,0.688208622062824
SA_parsorbitalis,-1.9909043619766853,199.0,0.2778685180507835,-51.574824037041424,-0.2465971903368107,0.04785959387801682,0.08116508449543343
SA_parstriangularis,-2.1380685546690064,199.0,0.2963791003942793,-117.33161050477841,-4.742109655692516,0.033730705393810095,0.0637135546327524
SA_pericalcarine,-1.9420607434031334,199.0,0.27244247121071524,-136.8854946223546,1.0455501816207686,0.0535413039098808,0.08274565149708851
SA_postcentral,-1.896973902840857,199.0,0.2452813180561254,-202.92117921732427,3.9327577022982325,0.059279628059367956,0.08763075452254393
SA_posteriorcingulate,-4.448892407284106,199.0,0.5859871124960649,-140.52354480157547,-54.20900107557548,1.4349253236001448e-05,0.00012196865250601231
SA_precentral,-2.216831051214083,199.0,0.2892079709031351,-269.9795178761491,-15.782872686618333,0.027766885523764533,0.05553377104752907
SA_precuneus,-1.1384526087859397,199.0,0.16457642907393263,-168.77577886780276,45.22725756511602,0.25630022926187157,0.32274843684828275
SA_rostralanteriorcingulate,-3.971383426065013,199.0,0.5284883232504864,-93.69125854579039,-31.519115827675044,9.981442246257813e-05,0.000565615060621276
SA_rostralmiddlefrontal,-0.03382488342580047,199.0,0.037403993558330774,-185.39736946914408,179.14440060302755,0.9730506960768806,0.9730506960768806
SA_superiorfrontal,-2.3747203743821075,199.0,0.30040064347716855,-422.8825451670912,-39.18436929547346,0.01851292491416689,0.04447182327680817
SA_superiorparietal,-3.2865826319394733,199.0,0.4286433391747689,-395.1852849964771,-98.79566695633721,0.0011986741409042688,0.00582213154153502
SA_superiortemporal,-0.8565255511845602,199.0,0.1374260532108145,-158.44019040390862,62.48195779952389,0.39273737052432456,0.4768953784938227
SA_supramarginal,-2.3525804886242856,199.0,0.3161859599250274,-315.49751140013626,-27.768500146195777,0.019619922033885955,0.04447182327680817
SA_frontalpole,0.8294209883658921,199.0,-0.08582392663378528,-4.5264553680013115,11.098394535738779,0.4078600334126442,0.47818072882861734
SA_temporalpole,1.3478694000130471,199.0,-0.1372726206662952,-5.356538599876652,28.49405884986347,0.17923276456935652,0.24375655981432484
SA_transversetemporal,-2.6178364622770243,199.0,0.36907970035942345,-34.07587819900783,-4.795189104737238,0.009529232974171515,0.02699949342681929
SA_insula,-1.764365594269756,199.0,0.24465254896731348,-115.71935687145913,6.429395093191836,0.07920463750331906,0.11220656979636866
