rois,PT_sub_with_infranormal_dev_%,PT_sub_with_supranormal_dev_%,FT_sub_with_infranormal_dev_%,FT_sub_with_supranormal_dev_%
centile_SA_bankssts,21.27659574468085,3.1914893617021276,4.504504504504505,2.7027027027027026
centile_SA_caudalanteriorcingulate,9.574468085106384,5.319148936170213,2.7027027027027026,2.7027027027027026
centile_SA_caudalmiddlefrontal,7.446808510638298,3.1914893617021276,3.6036036036036037,2.7027027027027026
centile_SA_cuneus,4.25531914893617,1.0638297872340425,1.8018018018018018,2.7027027027027026
centile_SA_entorhinal,0.0,0.0,0.0,0.0
centile_SA_fusiform,9.574468085106384,4.25531914893617,3.6036036036036037,4.504504504504505
centile_SA_inferiorparietal,10.638297872340425,1.0638297872340425,3.6036036036036037,3.6036036036036037
centile_SA_inferiortemporal,7.446808510638298,2.127659574468085,2.7027027027027026,5.405405405405405
centile_SA_isthmuscingulate,13.829787234042554,3.1914893617021276,5.405405405405405,4.504504504504505
centile_SA_lateraloccipital,5.319148936170213,3.1914893617021276,2.7027027027027026,4.504504504504505
centile_SA_lateralorbitofrontal,6.382978723404255,2.127659574468085,3.6036036036036037,6.306306306306306
centile_SA_lingual,4.25531914893617,4.25531914893617,2.7027027027027026,8.108108108108109
centile_SA_medialorbitofrontal,7.446808510638298,3.1914893617021276,4.504504504504505,3.6036036036036037
centile_SA_middletemporal,20.212765957446805,3.1914893617021276,1.8018018018018018,4.504504504504505
centile_SA_parahippocampal,13.829787234042554,4.25531914893617,4.504504504504505,6.306306306306306
centile_SA_paracentral,9.574468085106384,6.382978723404255,2.7027027027027026,6.306306306306306
centile_SA_parsopercularis,8.51063829787234,3.1914893617021276,5.405405405405405,5.405405405405405
centile_SA_parsorbitalis,3.1914893617021276,6.382978723404255,2.7027027027027026,8.108108108108109
centile_SA_parstriangularis,12.76595744680851,2.127659574468085,5.405405405405405,5.405405405405405
centile_SA_pericalcarine,4.25531914893617,8.51063829787234,0.9009009009009009,4.504504504504505
centile_SA_postcentral,8.51063829787234,3.1914893617021276,3.6036036036036037,5.405405405405405
centile_SA_posteriorcingulate,11.702127659574469,4.25531914893617,4.504504504504505,3.6036036036036037
centile_SA_precentral,4.25531914893617,3.1914893617021276,5.405405405405405,8.108108108108109
centile_SA_precuneus,8.51063829787234,8.51063829787234,4.504504504504505,5.405405405405405
centile_SA_rostralanteriorcingulate,11.702127659574469,1.0638297872340425,5.405405405405405,4.504504504504505
centile_SA_rostralmiddlefrontal,7.446808510638298,5.319148936170213,2.7027027027027026,4.504504504504505
centile_SA_superiorfrontal,11.702127659574469,4.25531914893617,4.504504504504505,2.7027027027027026
centile_SA_superiorparietal,10.638297872340425,1.0638297872340425,3.6036036036036037,2.7027027027027026
centile_SA_superiortemporal,6.382978723404255,2.127659574468085,4.504504504504505,2.7027027027027026
centile_SA_supramarginal,9.574468085106384,2.127659574468085,5.405405405405405,7.207207207207207
centile_SA_frontalpole,4.25531914893617,2.127659574468085,1.8018018018018018,7.207207207207207
centile_SA_temporalpole,0.0,10.638297872340425,6.306306306306306,7.207207207207207
centile_SA_transversetemporal,12.76595744680851,1.0638297872340425,5.405405405405405,4.504504504504505
centile_SA_insula,10.638297872340425,7.446808510638298,5.405405405405405,6.306306306306306
