ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
CT_bankssts,-1.972,201.0,0.253,-0.06,-0.0,5.00e-02,1.96e-01
CT_caudalanteriorcingulate,1.459,201.0,-0.141,-0.011,0.074,1.46e-01,2.76e-01
CT_caudalmiddlefrontal,-0.28,201.0,0.056,-0.038,0.028,7.80e-01,8.03e-01
CT_cuneus,0.658,201.0,-0.11,-0.019,0.038,5.11e-01,5.99e-01
CT_entorhinal,-1.587,201.0,0.223,-0.145,0.016,1.14e-01,2.42e-01
CT_fusiform,-1.009,201.0,0.124,-0.042,0.013,3.14e-01,5.09e-01
CT_inferiorparietal,-3.567,201.0,0.512,-0.075,-0.022,4.51e-04,7.67e-03
CT_inferiortemporal,1.642,201.0,-0.239,-0.005,0.051,1.02e-01,2.32e-01
CT_isthmuscingulate,2.572,201.0,-0.349,0.013,0.097,1.08e-02,9.21e-02
CT_lateraloccipital,0.506,201.0,-0.056,-0.02,0.034,6.14e-01,6.73e-01
CT_lateralorbitofrontal,1.746,201.0,-0.271,-0.003,0.057,8.24e-02,2.20e-01
CT_lingual,-0.915,201.0,0.113,-0.039,0.014,3.61e-01,5.58e-01
CT_medialorbitofrontal,3.946,201.0,-0.577,0.034,0.102,1.10e-04,3.73e-03
CT_middletemporal,-2.471,201.0,0.331,-0.076,-0.009,1.43e-02,9.72e-02
CT_parahippocampal,-1.393,201.0,0.219,-0.101,0.017,1.65e-01,2.95e-01
CT_paracentral,1.735,201.0,-0.208,-0.005,0.072,8.43e-02,2.20e-01
CT_parsopercularis,-0.078,201.0,0.009,-0.033,0.031,9.38e-01,9.38e-01
CT_parsorbitalis,-3.384,201.0,0.467,-0.113,-0.03,8.58e-04,9.73e-03
CT_parstriangularis,-2.03,201.0,0.284,-0.068,-0.001,4.36e-02,1.96e-01
CT_pericalcarine,0.686,201.0,-0.087,-0.02,0.041,4.94e-01,5.99e-01
CT_postcentral,-0.758,201.0,0.152,-0.039,0.017,4.49e-01,5.87e-01
CT_posteriorcingulate,0.658,201.0,-0.093,-0.019,0.038,5.11e-01,5.99e-01
CT_precentral,-1.146,201.0,0.166,-0.055,0.015,2.53e-01,4.30e-01
CT_precuneus,0.366,201.0,-0.041,-0.023,0.034,7.15e-01,7.60e-01
CT_rostralanteriorcingulate,1.819,201.0,-0.265,-0.004,0.095,7.04e-02,2.18e-01
CT_rostralmiddlefrontal,-2.008,201.0,0.277,-0.053,-0.0,4.59e-02,1.96e-01
CT_superiorfrontal,0.792,201.0,-0.096,-0.019,0.045,4.30e-01,5.84e-01
CT_superiorparietal,-1.679,201.0,0.278,-0.058,0.005,9.48e-02,2.30e-01
CT_superiortemporal,0.847,201.0,-0.131,-0.019,0.047,3.98e-01,5.84e-01
CT_supramarginal,-1.955,201.0,0.29,-0.054,0.0,5.19e-02,1.96e-01
CT_frontalpole,0.82,201.0,-0.095,-0.029,0.07,4.13e-01,5.84e-01
CT_temporalpole,-1.508,201.0,0.194,-0.104,0.014,1.33e-01,2.66e-01
CT_transversetemporal,-0.578,201.0,0.085,-0.061,0.033,5.64e-01,6.39e-01
CT_insula,-1.853,201.0,0.252,-0.073,0.002,6.54e-02,2.18e-01
