ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
SA_bankssts,-4.994,203.0,0.567,-108.235,-46.96,1.27e-06,2.16e-05
SA_caudalanteriorcingulate,-1.623,203.0,0.156,-56.763,5.505,1.06e-01,1.34e-01
SA_caudalmiddlefrontal,-1.087,203.0,0.094,-111.967,32.393,2.78e-01,3.16e-01
SA_cuneus,-1.948,203.0,0.143,-97.128,0.583,5.28e-02,7.48e-02
SA_entorhinal,0.316,203.0,-0.105,-17.266,23.867,7.52e-01,7.75e-01
SA_fusiform,-3.111,203.0,0.259,-207.562,-46.525,2.13e-03,6.59e-03
SA_inferiorparietal,-4.224,203.0,0.419,-497.695,-180.906,3.63e-05,2.47e-04
SA_inferiortemporal,-1.649,203.0,0.069,-178.771,15.911,1.01e-01,1.32e-01
SA_isthmuscingulate,-4.475,203.0,0.421,-108.257,-42.034,1.27e-05,1.08e-04
SA_lateraloccipital,-0.999,203.0,0.011,-224.47,73.484,3.19e-01,3.50e-01
SA_lateralorbitofrontal,-4.617,203.0,0.498,-248.374,-99.721,6.90e-06,7.82e-05
SA_lingual,-2.212,203.0,0.221,-219.87,-12.642,2.81e-02,4.54e-02
SA_medialorbitofrontal,-2.527,203.0,0.203,-109.672,-13.527,1.23e-02,2.20e-02
SA_middletemporal,-6.262,203.0,0.629,-390.599,-203.536,2.22e-09,7.55e-08
SA_parahippocampal,-2.571,203.0,0.268,-43.334,-5.72,1.08e-02,2.17e-02
SA_paracentral,-1.994,203.0,0.175,-83.717,-0.477,4.75e-02,7.02e-02
SA_parsopercularis,-2.681,203.0,0.297,-122.84,-18.724,7.95e-03,1.93e-02
SA_parsorbitalis,-1.516,203.0,0.108,-43.803,5.725,1.31e-01,1.59e-01
SA_parstriangularis,-2.714,203.0,0.271,-130.125,-20.623,7.21e-03,1.89e-02
SA_pericalcarine,-0.661,203.0,0.024,-88.275,43.961,5.10e-01,5.41e-01
SA_postcentral,-3.437,203.0,0.299,-257.033,-69.64,7.13e-04,3.03e-03
SA_posteriorcingulate,-2.967,203.0,0.271,-97.85,-19.724,3.37e-03,9.54e-03
SA_precentral,-2.238,203.0,0.172,-228.386,-14.463,2.63e-02,4.47e-02
SA_precuneus,-1.208,203.0,0.027,-183.005,43.93,2.28e-01,2.68e-01
SA_rostralanteriorcingulate,-2.617,203.0,0.267,-77.454,-10.894,9.53e-03,2.05e-02
SA_rostralmiddlefrontal,-1.791,203.0,0.113,-324.364,15.59,7.48e-02,1.02e-01
SA_superiorfrontal,-2.545,203.0,0.199,-430.32,-54.658,1.17e-02,2.20e-02
SA_superiorparietal,-3.571,203.0,0.36,-389.687,-112.421,4.45e-04,2.16e-03
SA_superiortemporal,-2.022,203.0,0.139,-204.063,-2.589,4.44e-02,6.87e-02
SA_supramarginal,-3.243,203.0,0.298,-356.745,-86.972,1.38e-03,5.22e-03
SA_frontalpole,0.139,203.0,-0.106,-7.054,8.125,8.89e-01,8.89e-01
SA_temporalpole,3.189,203.0,-0.504,9.18,38.927,1.66e-03,5.63e-03
SA_transversetemporal,-3.662,203.0,0.418,-41.066,-12.323,3.19e-04,1.81e-03
SA_insula,-2.612,203.0,0.203,-146.185,-20.425,9.67e-03,2.05e-02
