,T_201-statistic
SA_bankssts,-4.977465539002731
SA_caudalanteriorcingulate,0.0
SA_caudalmiddlefrontal,0.0
SA_cuneus,0.0
SA_entorhinal,0.0
SA_fusiform,-3.012143639598588
SA_inferiorparietal,-4.188129023860288
SA_inferiortemporal,0.0
SA_isthmuscingulate,-4.478682427169877
SA_lateraloccipital,0.0
SA_lateralorbitofrontal,-4.531673252505798
SA_lingual,-2.2166883202396117
SA_medialorbitofrontal,-2.5377707239958465
SA_middletemporal,-6.192999027172486
SA_parahippocampal,-2.4635650521579198
SA_paracentral,0.0
SA_parsopercularis,-2.6312501604961027
SA_parsorbitalis,0.0
SA_parstriangularis,-2.7748214471891934
SA_pericalcarine,0.0
SA_postcentral,-3.4153772889007237
SA_posteriorcingulate,-3.0316748470827877
SA_precentral,-2.287830889122944
SA_precuneus,0.0
SA_rostralanteriorcingulate,-2.711798256761987
SA_rostralmiddlefrontal,0.0
SA_superiorfrontal,-2.579392523703802
SA_superiorparietal,-3.559845113876454
SA_superiortemporal,0.0
SA_supramarginal,-3.2249997740587446
SA_frontalpole,0.0
SA_temporalpole,3.138391824826958
SA_transversetemporal,-3.7388530809046094
SA_insula,-2.624784085356121
