ROI,t_statistic,Cohen_d,p_value,p_fdr
SA_bankssts,,,,
SA_caudalanteriorcingulate,0.40500289049739263,0.17903571049600575,0.685600733629164,0.7519491917223089
SA_caudalmiddlefrontal,-2.2678407532345397,0.35683499493042875,0.02364681902108792,0.044666213706499404
SA_cuneus,0.21597108591189085,0.1595930471859038,0.8290740220373503,0.8469643089396244
SA_entorhinal,1.585294236235657,0.00956130700757177,0.11335700038387257,0.16757121795876814
SA_fusiform,-2.764748639637786,0.38979790642389756,0.005848584974426924,0.01807744446641049
SA_inferiorparietal,-3.69789697008026,0.44914756078794893,0.00023464018810428526,0.0009972207994432124
SA_inferiortemporal,-1.3411866443497538,0.2998019389631463,0.18030051673771597,0.23956445473731963
SA_isthmuscingulate,-3.9207110317971448,0.46796594889006643,9.708774965873242e-05,0.00047156906977098605
SA_lateraloccipital,-1.8107790045281273,0.3242910677198363,0.07060923805817228,0.11431971876085036
SA_lateralorbitofrontal,-4.097361151481945,0.4733174528943647,4.674627634851693e-05,0.00026489556597492927
SA_lingual,-1.2382819779783696,0.27943631120228557,0.21603204294901077,0.2720403503802358
SA_medialorbitofrontal,-4.126217854778936,0.47718767650074934,4.137675487583181e-05,0.00026489556597492927
SA_middletemporal,-3.587347722535156,0.4393071815040993,0.0003576332942569543,0.0013510591116373829
SA_parahippocampal,-0.831339385001914,0.2505232185041483,0.40606910422519893,0.46021165145522547
SA_paracentral,-0.19306562010903455,0.21115863302773175,0.8469643089396244,0.8469643089396244
SA_parsopercularis,-4.859986174635563,0.5252406522182014,1.4539066415948342e-06,1.6477608604741454e-05
SA_parsorbitalis,-5.254360608700961,0.5463533714573207,1.9810446423943904e-07,3.367775892070464e-06
SA_parstriangularis,-5.561302529140678,0.5703144701094044,3.82913989739637e-08,1.301907565114766e-06
SA_pericalcarine,2.3155381640903108,-0.05301955511752258,0.020875438835105026,0.04395616022545324
SA_postcentral,-0.8535006192316055,0.26563672592594106,0.39367750669658863,0.46021165145522547
SA_posteriorcingulate,-0.37111767704661675,0.23159513076576888,0.710663636795454,0.7550801140951698
SA_precentral,-1.386219354154823,0.29786066569357617,0.16612705980357553,0.23534666805506532
SA_precuneus,-1.7800147831717694,0.3233314846494821,0.07551289953620274,0.11670175382867697
SA_rostralanteriorcingulate,-4.468948977089429,0.502803989330191,9.183627975101712e-06,7.806083778836456e-05
SA_rostralmiddlefrontal,-2.947002068388041,0.3965162265150517,0.0033167867641271252,0.011277074998032226
SA_superiorfrontal,-2.696079667333447,0.38108761896506577,0.0071868975559148925,0.020362876408425528
SA_superiorparietal,-2.6423438500270215,0.3857765044848528,0.00841985660540766,0.022021163429527726
SA_superiortemporal,-2.077187731228971,0.34671959042500966,0.03815308776917514,0.06827394653431341
SA_supramarginal,-2.295935550844692,0.3592328719195137,0.02197808011272662,0.04395616022545324
SA_frontalpole,,,,
SA_temporalpole,,,,
SA_transversetemporal,-2.4729776156428263,0.35935646059507764,0.01363873755851184,0.0331226483563859
SA_insula,-2.299163850003166,0.35298717045215305,0.021793068734146978,0.04395616022545324
WMV,1.995141251254951,-0.006211153450516578,0.04641973466913991,0.07891354893753784
GMV,-1.332313659543801,0.30609967342811784,0.18319634774030324,0.23956445473731963
sGMV,-0.8960101805863682,0.2534763365302458,0.3705593532360424,0.4499649289294801
