ROI,t_statistic,Cohen_d,p_value,p_fdr
SA_bankssts,,,,
SA_caudalanteriorcingulate,0.405,0.179,0.686,0.752
SA_caudalmiddlefrontal,-2.268,0.357,0.024,0.045
SA_cuneus,0.216,0.16,0.829,0.847
SA_entorhinal,1.585,0.01,0.113,0.168
SA_fusiform,-2.765,0.39,0.006,0.018
SA_inferiorparietal,-3.698,0.449,<0.001,0.001
SA_inferiortemporal,-1.341,0.3,0.18,0.24
SA_isthmuscingulate,-3.921,0.468,<0.001,<0.001
SA_lateraloccipital,-1.811,0.324,0.071,0.114
SA_lateralorbitofrontal,-4.097,0.473,<0.001,<0.001
SA_lingual,-1.238,0.279,0.216,0.272
SA_medialorbitofrontal,-4.126,0.477,<0.001,<0.001
SA_middletemporal,-3.587,0.439,<0.001,0.001
SA_parahippocampal,-0.831,0.251,0.406,0.46
SA_paracentral,-0.193,0.211,0.847,0.847
SA_parsopercularis,-4.86,0.525,<0.001,<0.001
SA_parsorbitalis,-5.254,0.546,<0.001,<0.001
SA_parstriangularis,-5.561,0.57,<0.001,<0.001
SA_pericalcarine,2.316,-0.053,0.021,0.044
SA_postcentral,-0.854,0.266,0.394,0.46
SA_posteriorcingulate,-0.371,0.232,0.711,0.755
SA_precentral,-1.386,0.298,0.166,0.235
SA_precuneus,-1.78,0.323,0.076,0.117
SA_rostralanteriorcingulate,-4.469,0.503,<0.001,<0.001
SA_rostralmiddlefrontal,-2.947,0.397,0.003,0.011
SA_superiorfrontal,-2.696,0.381,0.007,0.02
SA_superiorparietal,-2.642,0.386,0.008,0.022
SA_superiortemporal,-2.077,0.347,0.038,0.068
SA_supramarginal,-2.296,0.359,0.022,0.044
SA_frontalpole,,,,
SA_temporalpole,,,,
SA_transversetemporal,-2.473,0.359,0.014,0.033
SA_insula,-2.299,0.353,0.022,0.044
WMV,1.995,-0.006,0.046,0.079
GMV,-1.332,0.306,0.183,0.24
sGMV,-0.896,0.253,0.371,0.45
