rois,PT_sub_with_infranormal_dev_%,PT_sub_with_supranormal_dev_%,FT_sub_with_infranormal_dev_%,FT_sub_with_supranormal_dev_%
centile_SA_bankssts,0.0,0.0,0.0,0.0
centile_SA_caudalanteriorcingulate,0.0,0.0,0.0,0.0
centile_SA_caudalmiddlefrontal,6.106870229007633,1.5267175572519083,1.2411347517730498,3.368794326241135
centile_SA_cuneus,1.5267175572519083,0.0,0.3546099290780142,0.1773049645390071
centile_SA_entorhinal,0.0,0.0,0.0,0.0
centile_SA_fusiform,6.106870229007633,2.2900763358778624,2.8368794326241136,3.368794326241135
centile_SA_inferiorparietal,0.0,0.0,0.0,0.0
centile_SA_inferiortemporal,5.343511450381679,1.5267175572519083,1.5957446808510638,3.368794326241135
centile_SA_isthmuscingulate,14.50381679389313,1.5267175572519083,4.964539007092199,5.319148936170213
centile_SA_lateraloccipital,7.633587786259542,1.5267175572519083,4.078014184397164,3.723404255319149
centile_SA_lateralorbitofrontal,8.396946564885496,0.0,3.1914893617021276,5.673758865248227
centile_SA_lingual,0.7633587786259541,0.0,0.0,0.1773049645390071
centile_SA_medialorbitofrontal,12.977099236641221,2.2900763358778624,4.432624113475177,4.078014184397164
centile_SA_middletemporal,7.633587786259542,0.7633587786259541,2.304964539007092,2.8368794326241136
centile_SA_parahippocampal,7.633587786259542,3.0534351145038165,3.546099290780142,1.2411347517730498
centile_SA_paracentral,6.870229007633588,3.816793893129771,2.127659574468085,4.25531914893617
centile_SA_parsopercularis,0.0,0.0,0.0,0.0
centile_SA_parsorbitalis,9.923664122137405,0.7633587786259541,2.127659574468085,3.368794326241135
centile_SA_parstriangularis,0.0,0.0,0.0,0.0
centile_SA_pericalcarine,1.5267175572519083,0.0,0.3546099290780142,0.8865248226950355
centile_SA_postcentral,8.396946564885496,3.816793893129771,3.1914893617021276,4.432624113475177
centile_SA_posteriorcingulate,7.633587786259542,1.5267175572519083,4.078014184397164,4.078014184397164
centile_SA_precentral,8.396946564885496,1.5267175572519083,3.0141843971631204,2.6595744680851063
centile_SA_precuneus,6.870229007633588,1.5267175572519083,2.304964539007092,3.723404255319149
centile_SA_rostralanteriorcingulate,19.083969465648856,1.5267175572519083,4.432624113475177,3.900709219858156
centile_SA_rostralmiddlefrontal,5.343511450381679,3.0534351145038165,3.368794326241135,3.368794326241135
centile_SA_superiorfrontal,6.870229007633588,0.0,1.773049645390071,2.8368794326241136
centile_SA_superiorparietal,0.0,0.0,0.0,0.0
centile_SA_superiortemporal,7.633587786259542,0.0,1.950354609929078,2.6595744680851063
centile_SA_supramarginal,6.106870229007633,1.5267175572519083,1.950354609929078,3.723404255319149
centile_SA_frontalpole,5.343511450381679,4.580152671755725,4.609929078014184,4.609929078014184
centile_SA_temporalpole,3.0534351145038165,3.816793893129771,1.0638297872340425,3.1914893617021276
centile_SA_transversetemporal,0.0,0.0,0.0,0.0
centile_SA_insula,11.450381679389313,3.0534351145038165,4.432624113475177,3.546099290780142
