,T_691-statistic
CT_bankssts,0.0
CT_caudalanteriorcingulate,9.736203556167924
CT_caudalmiddlefrontal,0.0
CT_cuneus,3.6956291976210807
CT_entorhinal,3.60369706658304
CT_fusiform,0.0
CT_inferiorparietal,-2.7070020884134913
CT_inferiortemporal,2.881628865941118
CT_isthmuscingulate,2.7566966030796283
CT_lateraloccipital,0.0
CT_lateralorbitofrontal,4.084146552809605
CT_lingual,4.093116083268232
CT_medialorbitofrontal,0.0
CT_middletemporal,2.305426193603786
CT_parahippocampal,5.010725194641859
CT_paracentral,7.596952913351045
CT_parsopercularis,7.174440965279373
CT_parsorbitalis,2.6953365362292794
CT_parstriangularis,2.744027248945017
CT_pericalcarine,6.47259028437161
CT_postcentral,5.49882355384316
CT_posteriorcingulate,3.8806899046580856
CT_precentral,5.781535522901186
CT_precuneus,3.8791879129984834
CT_rostralanteriorcingulate,0.0
CT_rostralmiddlefrontal,-2.8428621219410193
CT_superiorfrontal,2.1858685873412473
CT_superiorparietal,0.0
CT_superiortemporal,10.2222823861317
CT_supramarginal,0.0
CT_frontalpole,0.0
CT_temporalpole,5.98779567160716
CT_transversetemporal,5.89574703049051
CT_insula,6.942330217989768
