ROI,t_statistic,Cohen_d,p_value,p_fdr
SA_bankssts,-3.948,0.569,<0.001,0.001
SA_caudalanteriorcingulate,-1.997,0.299,0.047,0.094
SA_caudalmiddlefrontal,0.295,-0.026,0.768,0.768
SA_cuneus,-2.849,0.41,0.005,0.014
SA_entorhinal,0.795,-0.119,0.428,0.486
SA_fusiform,-2.24,0.302,0.026,0.064
SA_inferiorparietal,-1.647,0.226,0.101,0.165
SA_inferiortemporal,-0.983,0.149,0.327,0.414
SA_isthmuscingulate,-5.986,0.841,<0.001,<0.001
SA_lateraloccipital,-1.742,0.254,0.083,0.157
SA_lateralorbitofrontal,-4.923,0.7,<0.001,<0.001
SA_lingual,-0.648,0.075,0.518,0.55
SA_medialorbitofrontal,-3.257,0.458,0.001,0.005
SA_middletemporal,-3.598,0.504,<0.001,0.002
SA_parahippocampal,-3.282,0.454,0.001,0.005
SA_paracentral,-1.527,0.221,0.128,0.19
SA_parsopercularis,0.657,-0.105,0.512,0.55
SA_parsorbitalis,-1.435,0.208,0.153,0.21
SA_parstriangularis,-3.475,0.513,0.001,0.003
SA_pericalcarine,-1.429,0.199,0.155,0.21
SA_postcentral,-2.928,0.423,0.004,0.012
SA_posteriorcingulate,-5.461,0.78,<0.001,<0.001
SA_precentral,-2.058,0.303,0.041,0.087
SA_precuneus,-2.279,0.323,0.024,0.062
SA_rostralanteriorcingulate,-5.512,0.776,<0.001,<0.001
SA_rostralmiddlefrontal,-0.834,0.123,0.405,0.486
SA_superiorfrontal,-0.792,0.107,0.429,0.486
SA_superiorparietal,-1.619,0.244,0.107,0.165
SA_superiortemporal,-1.638,0.242,0.103,0.165
SA_supramarginal,-2.096,0.293,0.037,0.085
SA_frontalpole,0.349,-0.063,0.727,0.749
SA_temporalpole,-0.98,0.126,0.328,0.414
SA_transversetemporal,-2.932,0.415,0.004,0.012
SA_insula,-1.682,0.243,0.094,0.165
