ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
CT_bankssts,-2.495,184.0,0.381,-0.08,-0.009,0.013,0.038
CT_caudalanteriorcingulate,0.954,184.0,-0.134,-0.023,0.067,0.341,0.492
CT_caudalmiddlefrontal,-0.943,184.0,0.15,-0.055,0.02,0.347,0.492
CT_cuneus,-0.807,184.0,0.136,-0.045,0.019,0.421,0.55
CT_entorhinal,-1.121,184.0,0.172,-0.102,0.028,0.264,0.408
CT_fusiform,-2.592,184.0,0.378,-0.082,-0.011,0.01,0.033
CT_inferiorparietal,-4.253,184.0,0.639,-0.098,-0.036,<0.001,<0.001
CT_inferiortemporal,-1.912,184.0,0.296,-0.063,0.001,0.057,0.119
CT_isthmuscingulate,2.579,184.0,-0.362,0.013,0.095,0.011,0.033
CT_lateraloccipital,-0.271,184.0,0.063,-0.035,0.026,0.787,0.829
CT_lateralorbitofrontal,-1.377,184.0,0.217,-0.052,0.009,0.17,0.281
CT_lingual,-0.874,184.0,0.141,-0.048,0.018,0.383,0.521
CT_medialorbitofrontal,2.868,184.0,-0.411,0.015,0.084,0.005,0.022
CT_middletemporal,-5.794,184.0,0.865,-0.14,-0.069,<0.001,<0.001
CT_parahippocampal,-0.364,184.0,0.063,-0.065,0.045,0.717,0.786
CT_paracentral,1.39,184.0,-0.213,-0.013,0.072,0.166,0.281
CT_parsopercularis,-1.854,184.0,0.286,-0.06,0.002,0.065,0.123
CT_parsorbitalis,-5.932,184.0,0.884,-0.179,-0.089,<0.001,<0.001
CT_parstriangularis,-2.68,184.0,0.405,-0.078,-0.012,0.008,0.03
CT_pericalcarine,1.366,184.0,-0.198,-0.01,0.056,0.173,0.281
CT_postcentral,-1.941,184.0,0.28,-0.066,0.001,0.054,0.119
CT_posteriorcingulate,2.197,184.0,-0.276,0.004,0.066,0.029,0.071
CT_precentral,-2.69,184.0,0.405,-0.114,-0.018,0.008,0.03
CT_precuneus,-0.595,184.0,0.103,-0.045,0.024,0.553,0.626
CT_rostralanteriorcingulate,0.618,184.0,-0.083,-0.031,0.059,0.537,0.626
CT_rostralmiddlefrontal,-3.614,184.0,0.546,-0.082,-0.024,<0.001,0.003
CT_superiorfrontal,0.692,184.0,-0.097,-0.022,0.045,0.49,0.617
CT_superiorparietal,-2.469,184.0,0.371,-0.072,-0.008,0.014,0.038
CT_superiortemporal,-0.639,184.0,0.104,-0.049,0.025,0.524,0.626
CT_supramarginal,-3.435,184.0,0.514,-0.086,-0.023,0.001,0.005
CT_frontalpole,-0.216,184.0,0.039,-0.065,0.052,0.829,0.829
CT_temporalpole,-1.896,184.0,0.271,-0.146,0.003,0.06,0.119
CT_transversetemporal,-0.228,184.0,0.035,-0.063,0.05,0.82,0.829
CT_insula,-3.059,184.0,0.459,-0.081,-0.017,0.003,0.014
