ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
CT_bankssts,0.692154791005861,549.0,-0.07781956068645798,-0.011150781770566952,0.023284775114501933,0.489132758862591,0.5734659931492446
CT_caudalanteriorcingulate,7.794248465117218,549.0,-0.8136959907256168,0.04712173623569474,0.07887531926157065,3.2679947821888715e-14,1.1111182259442164e-12
CT_caudalmiddlefrontal,-0.39128706876100156,549.0,0.02548457979814828,-0.018647757093507973,0.012452576684565491,0.6957368707334688,0.7392204251543106
CT_cuneus,2.7496191022904686,549.0,-0.31668555491125766,0.005836017559237598,0.0350307122502605,0.006163077063803171,0.014817300860311007
CT_entorhinal,1.9601274852448538,549.0,-0.26227191973794967,-6.303191812341222e-05,0.059363195849190434,0.05048628042895326,0.07802425157201867
CT_fusiform,-0.7426901443897925,549.0,0.08677687473461991,-0.018413950398076303,0.008309822320577254,0.4579869554146022,0.5561270172891598
CT_inferiorparietal,-2.159551982925815,549.0,0.2843737738125711,-0.03278112551647159,-0.0015521339337112652,0.03123967796506395,0.05310745254060871
CT_inferiortemporal,2.6210699788433334,549.0,-0.34458097008277677,0.004867260060322273,0.03398141349217759,0.00900835407145813,0.01914275240184853
CT_isthmuscingulate,2.4684943056141866,549.0,-0.12096300735530813,0.0028348912350975135,0.024923596496636582,0.01387180937980045,0.02620230660628974
CT_lateraloccipital,0.5893275724973785,549.0,-0.06252054541087455,-0.011234467939352656,0.02086492794264779,0.5558839788716319,0.6300018427211829
CT_lateralorbitofrontal,2.394716876666594,549.0,-0.27747729051883036,0.0030316348472690813,0.030702234671894743,0.01696746693880249,0.030362835574699192
CT_lingual,3.5070280750282263,549.0,-0.4205311746262868,0.009798758683500166,0.034751410000329115,0.0004902349625910249,0.0013889990606745703
CT_medialorbitofrontal,0.5476420158249399,549.0,-0.04617654612841286,-0.008439390093842276,0.014964299831036268,0.5841603028797004,0.6406919450938651
CT_middletemporal,1.653545256808077,549.0,-0.2010502644801557,-0.002221446553350279,0.025862779127900616,0.09879159024985712,0.13995475285396425
CT_parahippocampal,4.163945802639997,549.0,-0.31223842366901305,0.020826727630717013,0.058023372556587,3.631672125122664e-05,0.0001122516838674278
CT_paracentral,6.097057475637635,549.0,-0.6660670329147659,0.03574658753236264,0.06972715821283004,2.0379668493381674e-09,2.309695762583256e-08
CT_parsopercularis,5.618774729164362,549.0,-0.7339621682699302,0.025945909861758036,0.05383792323176751,3.0610428864384204e-08,2.0815091627781257e-07
CT_parsorbitalis,2.593827696330902,549.0,-0.34710958625269034,0.004949614622161536,0.035837579366573086,0.009744761068203751,0.019489522136407502
CT_parstriangularis,1.7361778932274015,549.0,-0.2309715235210426,-0.0017156593178777584,0.027831167397224937,0.0830933895142307,0.12283370623842799
CT_pericalcarine,4.660380658137344,549.0,-0.46071380406612966,0.02273764437175249,0.055869691987651085,3.9660082581411825e-06,1.4982697864088911e-05
CT_postcentral,4.7259397686379785,549.0,-0.483693782019965,0.017233070710739637,0.041748039867050196,2.9141125833960216e-06,1.2384978479433092e-05
CT_posteriorcingulate,3.464212557790115,549.0,-0.25240248766632944,0.009204916173459855,0.033314453191638116,0.0005733106961589747,0.0014994279745696262
CT_precentral,4.527607619669696,549.0,-0.49911478502259415,0.016989389286733513,0.04302769254618671,7.320823621912134e-06,2.4890800314501255e-05
CT_precuneus,2.7299867212731956,549.0,-0.25521502563604903,0.005399084125090894,0.03310052820826758,0.006537044497196032,0.014817300860311007
CT_rostralanteriorcingulate,1.1145348437053728,549.0,-0.02105420381749255,-0.0059851007705154485,0.021685078432356585,0.26553747489746177,0.34724131332745
CT_rostralmiddlefrontal,-2.079283303943326,549.0,0.16046363772479907,-0.029543130354824716,-0.0008401299951951678,0.038054902968774146,0.061612700044681945
CT_superiorfrontal,1.555449501421184,549.0,-0.2204612444970362,-0.0027817303900526044,0.0239479023242315,0.12041530672881941,0.16376481715119437
CT_superiorparietal,-0.04832408112305826,549.0,0.022390965055719577,-0.014778194364714172,0.014068529164580517,0.9614755373061612,0.9614755373061612
CT_superiortemporal,7.247290920845537,549.0,-0.7809319979260184,0.03813524926723405,0.0664937228928953,1.4499386486287026e-12,2.4648957026687944e-11
CT_supramarginal,0.797729531599544,549.0,-0.08280318661891013,-0.008758355870074395,0.020736770558171864,0.42537236220161456,0.5356540857353665
CT_frontalpole,-0.35487078193131516,549.0,0.04077324646699011,-0.025004853538720957,0.017352538095536323,0.7228226792553515,0.7447263968085439
CT_temporalpole,4.946154925703858,549.0,-0.5937068791282354,0.036187924483841144,0.08386536565917829,1.0077212606161594e-06,4.894646122992775e-06
CT_transversetemporal,5.212519544437054,549.0,-0.4400209857683009,0.037701287910436775,0.08329937790378447,2.641708536586033e-07,1.4969681707320853e-06
CT_insula,5.748171878286186,549.0,-0.637370030502339,0.02434787123625212,0.049626907849636234,1.4976923520370904e-08,1.273038499231527e-07
