ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
SA_bankssts,-1.882,549.0,0.326,-22.687,0.485,0.06,0.228
SA_caudalanteriorcingulate,1.391,549.0,0.037,-5.137,30.09,0.165,0.35
SA_caudalmiddlefrontal,-0.224,549.0,0.169,-30.313,24.117,0.823,0.903
SA_cuneus,0.896,549.0,0.035,-19.659,52.66,0.37,0.573
SA_entorhinal,0.855,549.0,-0.003,-3.224,8.197,0.393,0.581
SA_fusiform,-1.433,549.0,0.275,-64.716,10.125,0.152,0.346
SA_inferiorparietal,-1.802,549.0,0.306,-138.684,5.985,0.072,0.245
SA_inferiortemporal,-0.442,549.0,0.191,-49.909,31.573,0.659,0.772
SA_isthmuscingulate,-1.688,549.0,0.29,-42.695,3.234,0.092,0.284
SA_lateraloccipital,0.003,549.0,0.145,-70.519,70.737,0.998,0.998
SA_lateralorbitofrontal,-2.407,549.0,0.35,-122.599,-12.409,0.016,0.08
SA_lingual,-0.019,549.0,0.14,-44.397,43.531,0.985,0.998
SA_medialorbitofrontal,-2.168,549.0,0.332,-49.389,-2.438,0.031,0.13
SA_middletemporal,-2.45,549.0,0.355,-107.184,-11.803,0.015,0.08
SA_parahippocampal,1.086,549.0,0.032,-4.148,14.402,0.278,0.473
SA_paracentral,1.321,549.0,0.023,-5.654,28.882,0.187,0.374
SA_parsopercularis,-2.737,549.0,0.386,-51.416,-8.45,0.006,0.063
SA_parsorbitalis,-3.987,549.0,0.494,-38.145,-12.963,<0.001,0.003
SA_parstriangularis,-2.622,549.0,0.378,-33.483,-4.803,0.009,0.063
SA_pericalcarine,2.611,549.0,-0.194,15.295,108.148,0.009,0.063
SA_postcentral,0.327,549.0,0.128,-51.833,72.517,0.744,0.843
SA_posteriorcingulate,0.637,549.0,0.1,-12.586,24.659,0.525,0.637
SA_precentral,0.18,549.0,0.135,-44.512,53.474,0.857,0.911
SA_precuneus,-0.671,549.0,0.205,-58.304,28.622,0.503,0.636
SA_rostralanteriorcingulate,-2.87,549.0,0.394,-40.235,-7.538,0.004,0.063
SA_rostralmiddlefrontal,-0.812,549.0,0.217,-102.295,42.453,0.417,0.591
SA_superiorfrontal,-0.667,549.0,0.205,-139.93,68.95,0.505,0.636
SA_superiorparietal,-1.212,549.0,0.262,-120.838,28.637,0.226,0.427
SA_superiortemporal,-1.171,549.0,0.256,-76.421,19.327,0.242,0.433
SA_supramarginal,-1.561,549.0,0.287,-94.414,10.791,0.119,0.328
SA_frontalpole,-1.497,549.0,0.236,-10.859,1.465,0.135,0.328
SA_temporalpole,0.67,549.0,0.069,-6.382,12.996,0.503,0.636
SA_transversetemporal,-1.496,549.0,0.271,-13.542,1.831,0.135,0.328
SA_insula,-1.053,549.0,0.233,-36.123,10.909,0.293,0.474
