,T_549-statistic
SA_bankssts,0.0
SA_caudalanteriorcingulate,0.0
SA_caudalmiddlefrontal,0.0
SA_cuneus,0.0
SA_entorhinal,0.0
SA_fusiform,0.0
SA_inferiorparietal,0.0
SA_inferiortemporal,0.0
SA_isthmuscingulate,0.0
SA_lateraloccipital,0.0
SA_lateralorbitofrontal,0.0
SA_lingual,0.0
SA_medialorbitofrontal,0.0
SA_middletemporal,0.0
SA_parahippocampal,0.0
SA_paracentral,0.0
SA_parsopercularis,0.0
SA_parsorbitalis,-3.9866796718987767
SA_parstriangularis,0.0
SA_pericalcarine,0.0
SA_postcentral,0.0
SA_posteriorcingulate,0.0
SA_precentral,0.0
SA_precuneus,0.0
SA_rostralanteriorcingulate,0.0
SA_rostralmiddlefrontal,0.0
SA_superiorfrontal,0.0
SA_superiorparietal,0.0
SA_superiortemporal,0.0
SA_supramarginal,0.0
SA_frontalpole,0.0
SA_temporalpole,0.0
SA_transversetemporal,0.0
SA_insula,0.0
