rois,infranormal_ft,supranormal_ft
Z_L_bankssts,6.5420560747663545,3.7383177570093453
Z_R_bankssts,6.5420560747663545,1.8691588785046727
Z_L_caudalanteriorcingulate,2.803738317757009,4.672897196261682
Z_R_caudalanteriorcingulate,5.607476635514018,4.672897196261682
Z_L_caudalmiddlefrontal,8.411214953271028,2.803738317757009
Z_R_caudalmiddlefrontal,5.607476635514018,1.8691588785046727
Z_L_cuneus,3.7383177570093453,6.5420560747663545
Z_R_cuneus,6.5420560747663545,5.607476635514018
Z_L_entorhinal,4.672897196261682,4.672897196261682
Z_R_entorhinal,4.672897196261682,4.672897196261682
Z_L_fusiform,4.672897196261682,6.5420560747663545
Z_R_fusiform,6.5420560747663545,2.803738317757009
Z_L_inferiorparietal,3.7383177570093453,7.476635514018691
Z_R_inferiorparietal,6.5420560747663545,4.672897196261682
Z_L_inferiortemporal,4.672897196261682,5.607476635514018
Z_R_inferiortemporal,2.803738317757009,7.476635514018691
Z_L_isthmuscingulate,1.8691588785046727,4.672897196261682
Z_R_isthmuscingulate,3.7383177570093453,5.607476635514018
Z_L_lateraloccipital,4.672897196261682,5.607476635514018
Z_R_lateraloccipital,3.7383177570093453,7.476635514018691
Z_L_lateralorbitofrontal,4.672897196261682,6.5420560747663545
Z_R_lateralorbitofrontal,5.607476635514018,5.607476635514018
Z_L_lingual,5.607476635514018,5.607476635514018
Z_R_lingual,3.7383177570093453,4.672897196261682
Z_L_medialorbitofrontal,5.607476635514018,3.7383177570093453
Z_R_medialorbitofrontal,1.8691588785046727,9.345794392523365
Z_L_middletemporal,2.803738317757009,6.5420560747663545
Z_R_middletemporal,2.803738317757009,5.607476635514018
Z_L_parahippocampal,3.7383177570093453,5.607476635514018
Z_R_parahippocampal,3.7383177570093453,6.5420560747663545
Z_L_paracentral,4.672897196261682,9.345794392523365
Z_R_paracentral,4.672897196261682,4.672897196261682
Z_L_parsopercularis,7.476635514018691,4.672897196261682
Z_R_parsopercularis,4.672897196261682,3.7383177570093453
Z_L_parsorbitalis,3.7383177570093453,5.607476635514018
Z_R_parsorbitalis,5.607476635514018,4.672897196261682
Z_L_parstriangularis,4.672897196261682,2.803738317757009
Z_R_parstriangularis,3.7383177570093453,5.607476635514018
Z_L_pericalcarine,2.803738317757009,5.607476635514018
Z_R_pericalcarine,2.803738317757009,6.5420560747663545
Z_L_postcentral,3.7383177570093453,5.607476635514018
Z_R_postcentral,1.8691588785046727,7.476635514018691
Z_L_posteriorcingulate,4.672897196261682,4.672897196261682
Z_R_posteriorcingulate,1.8691588785046727,5.607476635514018
Z_L_precentral,6.5420560747663545,2.803738317757009
Z_R_precentral,5.607476635514018,4.672897196261682
Z_L_precuneus,2.803738317757009,7.476635514018691
Z_R_precuneus,3.7383177570093453,5.607476635514018
Z_L_rostralanteriorcingulate,3.7383177570093453,5.607476635514018
Z_R_rostralanteriorcingulate,5.607476635514018,4.672897196261682
Z_L_rostralmiddlefrontal,5.607476635514018,4.672897196261682
Z_R_rostralmiddlefrontal,5.607476635514018,5.607476635514018
Z_L_superiorfrontal,5.607476635514018,6.5420560747663545
Z_R_superiorfrontal,2.803738317757009,5.607476635514018
Z_L_superiorparietal,5.607476635514018,5.607476635514018
Z_R_superiorparietal,2.803738317757009,7.476635514018691
Z_L_superiortemporal,4.672897196261682,5.607476635514018
Z_R_superiortemporal,4.672897196261682,5.607476635514018
Z_L_supramarginal,6.5420560747663545,2.803738317757009
Z_R_supramarginal,2.803738317757009,4.672897196261682
Z_L_frontalpole,3.7383177570093453,3.7383177570093453
Z_R_frontalpole,4.672897196261682,5.607476635514018
Z_L_temporalpole,5.607476635514018,0.9345794392523363
Z_R_temporalpole,7.476635514018691,1.8691588785046727
Z_L_transversetemporal,3.7383177570093453,6.5420560747663545
Z_R_transversetemporal,1.8691588785046727,6.5420560747663545
Z_L_insula,6.5420560747663545,4.672897196261682
Z_R_insula,6.5420560747663545,5.607476635514018
