rois,infranormal_pt,supranormal_pt
Z_L_bankssts,19.791666666666664,4.166666666666666
Z_R_bankssts,26.041666666666668,5.208333333333334
Z_L_caudalanteriorcingulate,15.625,6.25
Z_R_caudalanteriorcingulate,13.541666666666666,4.166666666666666
Z_L_caudalmiddlefrontal,10.416666666666668,5.208333333333334
Z_R_caudalmiddlefrontal,5.208333333333334,4.166666666666666
Z_L_cuneus,8.333333333333332,1.0416666666666665
Z_R_cuneus,11.458333333333332,6.25
Z_L_entorhinal,5.208333333333334,9.375
Z_R_entorhinal,3.125,5.208333333333334
Z_L_fusiform,13.541666666666666,0.0
Z_R_fusiform,17.708333333333336,7.291666666666667
Z_L_inferiorparietal,14.583333333333334,1.0416666666666665
Z_R_inferiorparietal,17.708333333333336,4.166666666666666
Z_L_inferiortemporal,11.458333333333332,6.25
Z_R_inferiortemporal,10.416666666666668,5.208333333333334
Z_L_isthmuscingulate,23.958333333333336,3.125
Z_R_isthmuscingulate,27.083333333333332,1.0416666666666665
Z_L_lateraloccipital,7.291666666666667,5.208333333333334
Z_R_lateraloccipital,8.333333333333332,3.125
Z_L_lateralorbitofrontal,20.833333333333336,1.0416666666666665
Z_R_lateralorbitofrontal,21.875,0.0
Z_L_lingual,12.5,7.291666666666667
Z_R_lingual,10.416666666666668,4.166666666666666
Z_L_medialorbitofrontal,11.458333333333332,3.125
Z_R_medialorbitofrontal,10.416666666666668,2.083333333333333
Z_L_middletemporal,23.958333333333336,6.25
Z_R_middletemporal,19.791666666666664,3.125
Z_L_parahippocampal,16.666666666666664,10.416666666666668
Z_R_parahippocampal,15.625,11.458333333333332
Z_L_paracentral,14.583333333333334,3.125
Z_R_paracentral,14.583333333333334,3.125
Z_L_parsopercularis,8.333333333333332,7.291666666666667
Z_R_parsopercularis,7.291666666666667,7.291666666666667
Z_L_parsorbitalis,14.583333333333334,4.166666666666666
Z_R_parsorbitalis,16.666666666666664,4.166666666666666
Z_L_parstriangularis,17.708333333333336,5.208333333333334
Z_R_parstriangularis,8.333333333333332,1.0416666666666665
Z_L_pericalcarine,12.5,5.208333333333334
Z_R_pericalcarine,9.375,6.25
Z_L_postcentral,21.875,6.25
Z_R_postcentral,17.708333333333336,5.208333333333334
Z_L_posteriorcingulate,21.875,4.166666666666666
Z_R_posteriorcingulate,22.916666666666664,3.125
Z_L_precentral,13.541666666666666,3.125
Z_R_precentral,18.75,5.208333333333334
Z_L_precuneus,14.583333333333334,8.333333333333332
Z_R_precuneus,18.75,6.25
Z_L_rostralanteriorcingulate,17.708333333333336,1.0416666666666665
Z_R_rostralanteriorcingulate,19.791666666666664,1.0416666666666665
Z_L_rostralmiddlefrontal,17.708333333333336,10.416666666666668
Z_R_rostralmiddlefrontal,17.708333333333336,10.416666666666668
Z_L_superiorfrontal,16.666666666666664,4.166666666666666
Z_R_superiorfrontal,15.625,5.208333333333334
Z_L_superiorparietal,16.666666666666664,2.083333333333333
Z_R_superiorparietal,14.583333333333334,5.208333333333334
Z_L_superiortemporal,4.166666666666666,2.083333333333333
Z_R_superiortemporal,10.416666666666668,7.291666666666667
Z_L_supramarginal,21.875,9.375
Z_R_supramarginal,19.791666666666664,4.166666666666666
Z_L_frontalpole,7.291666666666667,9.375
Z_R_frontalpole,7.291666666666667,5.208333333333334
Z_L_temporalpole,5.208333333333334,11.458333333333332
Z_R_temporalpole,6.25,9.375
Z_L_transversetemporal,4.166666666666666,3.125
Z_R_transversetemporal,14.583333333333334,1.0416666666666665
Z_L_insula,12.5,6.25
Z_R_insula,14.583333333333334,6.25
